shot_idx,shot_serial,shot_start_time,LocalVariables.ScanID3,GlobalImagingVariables2.SpinBlowNorthwestPower,GlobalImagingVariables2.FourthSpinBlowOutPulseDetuning,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampWaitTime,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.IsNematicLatticeModulation,GlobalMotVariables2.MotDetuningCompressed,GlobalLatticeVariables2.LatticeFreezePhysicsNorthwestPower,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalImagingVariables2.FifthSpinBlowOutPulseDetuning,GlobalScienceChamberEvaporationVariables2.AccordionCompressionDimplePower,GlobalLatticeVariables2.DMDModulationAmplitude,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.NematicLatticeModulationPostHoldTime,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.UnloadLatticeXPower,LocalVariables.XbarFrequency,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.NematicLatticeModulationPreHoldTime,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalImagingVariables2.SecondSpinBlowOutPulseThreeHalvesExtAmplitude,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalMotVariables2.MotExtAmplitudeCompressed,GlobalLatticeVariables2.PhysicsSplitFieldRampDelayTime,GlobalLatticeVariables2.IsRoundTripReloading,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.UnloadLatticeDMD1Power,LocalVariables.ShotTypeID,GlobalLatticeVariables2.Dmd1PatternFilename,GlobalLatticeVariables2.LatticeFreezeNorthwestPower,LocalVariables.ScanID2,GlobalLatticeVariables2.LatticeFreezeVerticalPower,GlobalImagingVariables2.SecondSpinBlowOutPulsePulseWidth,GlobalLatticeVariables2.NematicLatticeModulationXbarPhase,GlobalImagingVariables2.SecondSpinBlowOutPulseDetuning,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.IsImageBIFormation,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalImagingVariables2.SpinBlowOutPulseDetuning,GlobalImagingVariables2.SecondSpinBlowOutPulseOneHalfExtAmplitude,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.DMDModulationPreHoldTime,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.Dmd1ModPattern,GlobalLatticeVariables2.DMDModulationTime,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.NematicLatticeModulationTime,GlobalLatticeVariables2.SecondDMD1RampTime,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalMotVariables2.MotRepumpExtAmplitudeCompressed,GlobalLatticeVariables2.DMDModulationOffset,GlobalLatticeVariables2.CleanupBandInsulatorWaitTime,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionFinalPower,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionInitialPower,GlobalImagingVariables2.SecondSpinBlowOutPulseMagneticField,LocalVariables.ScanID4,GlobalImagingVariables2.ThirdSpinBlowOutPulseDetuning,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.ReloadLatticeRampTime,GlobalLatticeVariables2.ImagingLatticeFreezeTime,GlobalLatticeVariables2.DMDModulationFrequency,GlobalImagingVariables2.SpinBlowOutPulsePulseWidth,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.LoadingGradientNorthwestInitialPower,GlobalLatticeVariables2.LoadingGradientRadialLoadingField,GlobalLatticeVariables2.UnloadLatticeRampTime,GlobalLatticeVariables2.SecondDMD1RampPower,LocalVariables.DMDID,GlobalLatticeVariables2.isImageExpandedCheckerboard,GlobalLatticeVariables2.UnloadLatticeYPower,LocalVariables.DMDID2,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampDelayTime,LocalVariables.ScanID5,GlobalLatticeVariables2.IsDMDLatticeModulation,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.NematicLatticeModulationFrequency
0,0,2025/10/04 17:59:55,0.0,1.5,854000000.0,0.0,0.0225,0,0,-6000000.0,1.0,0.174746,0.032,0.001,620000000.0,0.3,0.0,0.975,0.0,93.0,0.00025,773000000.0,0.018000000000000002,0.0,0.03,0.0,0.1634945,0.00235,0.78,0.0,0,2.9999999999999997e-05,0.0225,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.875,0.0,9.999999999999999e-06,0.0,300000000.0,0.0,0,100000.0,450000000.0,0.0,0.005,0.0,228200000.0,0.0,0.03,b'251001_dmd0_iterative_compensation_pinning_4n.pkl',0.03,0.02,0.2,0.48,0.0,0.03,10.0,1.0,0.1,2.5,500.0,0.0,932600000.0,0.0225,0.0,0.1,0.02,200.0,4.9999999999999996e-06,0.035,0.03,0.01125,0.05,550.0,0.01,0.014,0.0,0,0.007,0.0,-1.4999999999999999e-05,0.0,0,0.0,590.0,200.0
1,1,2025/10/04 18:00:11,0.0,1.5,1010900000.0,0.0,0.0225,0,0,-6000000.0,1.0,0.174746,0.032,0.04,620000000.0,0.3,0.0,0.975,0.0,93.0,0.00025,773000000.0,0.018000000000000002,0.0,0.03,0.0,0.1634945,0.00235,0.78,0.0,0,2.9999999999999997e-05,0.0225,1.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.875,0.0,9.999999999999999e-06,0.0,766000000.0,0.0,0,100000.0,605500000.0,0.7,0.005,0.0,83506780.0,0.0,0.03,b'251001_dmd0_iterative_compensation_pinning_4n.pkl',0.03,0.02,0.2,0.48,0.0,0.03,10.0,1.0,0.1,2.5,610.0,0.0,1088300000.0,0.0225,0.0,0.1,0.02,200.0,9.999999999999999e-06,0.035,0.03,0.01125,0.05,550.0,0.01,0.014,0.0,0,0.007,0.0,-1.4999999999999999e-05,0.0,0,1.0,590.0,200.0
2,2,2025/10/04 18:00:29,0.0,1.5,854000000.0,0.0,0.0225,0,0,-6000000.0,1.0,0.174746,0.032,0.001,620000000.0,0.3,0.0,0.975,0.0,93.0,0.00025,773000000.0,0.018000000000000002,0.0,0.03,0.0,0.1634945,0.00235,0.78,0.0,0,2.9999999999999997e-05,0.0225,2.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.875,0.0,9.999999999999999e-06,0.0,300000000.0,0.0,0,100000.0,450000000.0,0.0,0.005,0.0,228200000.0,0.0,0.03,b'251001_dmd0_iterative_compensation_pinning_4p.pkl',0.03,0.02,0.2,0.48,0.0,0.03,10.0,1.0,0.1,2.5,500.0,0.0,932600000.0,0.0225,0.0,0.1,0.02,200.0,4.9999999999999996e-06,0.035,0.03,0.01125,0.05,550.0,0.01,0.014,0.0,0,0.007,0.0,-1.4999999999999999e-05,0.0,0,0.0,590.0,200.0
3,3,2025/10/04 18:00:46,0.0,1.5,1010900000.0,0.0,0.0225,0,0,-6000000.0,1.0,0.174746,0.032,0.04,620000000.0,0.3,0.0,0.975,0.0,93.0,0.00025,773000000.0,0.018000000000000002,0.0,0.03,0.0,0.1634945,0.00235,0.78,0.0,0,2.9999999999999997e-05,0.0225,3.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.875,0.0,9.999999999999999e-06,0.0,766000000.0,0.0,0,100000.0,605500000.0,0.7,0.005,0.0,83506780.0,0.0,0.03,b'251001_dmd0_iterative_compensation_pinning_4p.pkl',0.03,0.02,0.2,0.48,0.0,0.03,10.0,1.0,0.1,2.5,610.0,0.0,1088300000.0,0.0225,0.0,0.1,0.02,200.0,9.999999999999999e-06,0.035,0.03,0.01125,0.05,550.0,0.01,0.014,0.0,0,0.007,0.0,-1.4999999999999999e-05,0.0,0,1.0,590.0,200.0
4,4,2025/10/04 18:01:03,0.0,1.5,854000000.0,0.0,0.0225,0,0,-6000000.0,1.0,0.174746,0.032,0.001,620000000.0,0.3,0.0,0.975,0.0,93.0,0.00025,773000000.0,0.018000000000000002,0.0,0.03,0.0,0.1634945,0.00235,0.78,0.0,0,2.9999999999999997e-05,0.0225,4.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.875,0.0,9.999999999999999e-06,0.0,300000000.0,0.0,0,100000.0,450000000.0,0.0,0.005,0.0,228200000.0,0.0,0.03,b'251001_dmd0_iterative_compensation_pinning_6n.pkl',0.03,0.02,0.2,0.48,0.0,0.03,10.0,1.0,0.1,2.5,500.0,0.0,932600000.0,0.0225,0.0,0.1,0.02,200.0,4.9999999999999996e-06,0.035,0.03,0.01125,0.05,550.0,0.01,0.014,0.0,0,0.007,0.0,-1.4999999999999999e-05,0.0,0,0.0,590.0,200.0
5,5,2025/10/04 18:01:21,0.0,1.5,1010900000.0,0.0,0.0225,0,0,-6000000.0,1.0,0.174746,0.032,0.04,620000000.0,0.3,0.0,0.975,0.0,93.0,0.00025,773000000.0,0.018000000000000002,0.0,0.03,0.0,0.1634945,0.00235,0.78,0.0,0,2.9999999999999997e-05,0.0225,5.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.875,0.0,9.999999999999999e-06,0.0,766000000.0,0.0,0,100000.0,605500000.0,0.7,0.005,0.0,83506780.0,0.0,0.03,b'251001_dmd0_iterative_compensation_pinning_6n.pkl',0.03,0.02,0.2,0.48,0.0,0.03,10.0,1.0,0.1,2.5,610.0,0.0,1088300000.0,0.0225,0.0,0.1,0.02,200.0,9.999999999999999e-06,0.035,0.03,0.01125,0.05,550.0,0.01,0.014,0.0,0,0.007,0.0,-1.4999999999999999e-05,0.0,0,1.0,590.0,200.0
6,6,2025/10/04 18:01:39,0.0,1.5,854000000.0,0.0,0.0225,0,0,-6000000.0,1.0,0.174746,0.032,0.001,620000000.0,0.3,0.0,0.975,0.0,93.0,0.00025,773000000.0,0.018000000000000002,0.0,0.03,0.0,0.1634945,0.00235,0.78,0.0,0,2.9999999999999997e-05,0.0225,6.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.875,0.0,9.999999999999999e-06,0.0,300000000.0,0.0,0,100000.0,450000000.0,0.0,0.005,0.0,228200000.0,0.0,0.03,b'251001_dmd0_iterative_compensation_pinning_6p.pkl',0.03,0.02,0.2,0.48,0.0,0.03,10.0,1.0,0.1,2.5,500.0,0.0,932600000.0,0.0225,0.0,0.1,0.02,200.0,4.9999999999999996e-06,0.035,0.03,0.01125,0.05,550.0,0.01,0.014,0.0,0,0.007,0.0,-1.4999999999999999e-05,0.0,0,0.0,590.0,200.0
7,7,2025/10/04 18:01:57,0.0,1.5,1010900000.0,0.0,0.0225,0,0,-6000000.0,1.0,0.174746,0.032,0.04,620000000.0,0.3,0.0,0.975,0.0,93.0,0.00025,773000000.0,0.018000000000000002,0.0,0.03,0.0,0.1634945,0.00235,0.78,0.0,0,2.9999999999999997e-05,0.0225,7.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.875,0.0,9.999999999999999e-06,0.0,766000000.0,0.0,0,100000.0,605500000.0,0.7,0.005,0.0,83506780.0,0.0,0.03,b'251001_dmd0_iterative_compensation_pinning_6p.pkl',0.03,0.02,0.2,0.48,0.0,0.03,10.0,1.0,0.1,2.5,610.0,0.0,1088300000.0,0.0225,0.0,0.1,0.02,200.0,9.999999999999999e-06,0.035,0.03,0.01125,0.05,550.0,0.01,0.014,0.0,0,0.007,0.0,-1.4999999999999999e-05,0.0,0,1.0,590.0,200.0
8,8,2025/10/04 18:02:14,0.0,1.5,854000000.0,0.0,0.0225,0,0,-6000000.0,1.0,0.174746,0.032,0.001,620000000.0,0.3,0.0,0.975,0.0,93.0,0.00025,773000000.0,0.018000000000000002,0.0,0.03,0.0,0.1634945,0.00235,0.78,0.0,0,2.9999999999999997e-05,0.0225,8.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.875,0.0,9.999999999999999e-06,0.0,300000000.0,0.0,0,100000.0,450000000.0,0.0,0.005,0.0,228200000.0,0.0,0.03,b'251001_dmd0_iterative_compensation_pinning_8n.pkl',0.03,0.02,0.2,0.48,0.0,0.03,10.0,1.0,0.1,2.5,500.0,0.0,932600000.0,0.0225,0.0,0.1,0.02,200.0,4.9999999999999996e-06,0.035,0.03,0.01125,0.05,550.0,0.01,0.014,0.0,0,0.007,0.0,-1.4999999999999999e-05,0.0,0,0.0,590.0,200.0
9,9,2025/10/04 18:02:32,0.0,1.5,1010900000.0,0.0,0.0225,0,0,-6000000.0,1.0,0.174746,0.032,0.04,620000000.0,0.3,0.0,0.975,0.0,93.0,0.00025,773000000.0,0.018000000000000002,0.0,0.03,0.0,0.1634945,0.00235,0.78,0.0,0,2.9999999999999997e-05,0.0225,9.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.875,0.0,9.999999999999999e-06,0.0,766000000.0,0.0,0,100000.0,605500000.0,0.7,0.005,0.0,83506780.0,0.0,0.03,b'251001_dmd0_iterative_compensation_pinning_8n.pkl',0.03,0.02,0.2,0.48,0.0,0.03,10.0,1.0,0.1,2.5,610.0,0.0,1088300000.0,0.0225,0.0,0.1,0.02,200.0,9.999999999999999e-06,0.035,0.03,0.01125,0.05,550.0,0.01,0.014,0.0,0,0.007,0.0,-1.4999999999999999e-05,0.0,0,1.0,590.0,200.0
