shot_idx,shot_serial,shot_start_time,GlobalImagingVariables2.ThirdSpinBlowOutPulseDetuning,GlobalScienceChamberEvaporationVariables2.AccordionCompressionDimplePower,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampWaitTime,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionInitialPower,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.DMDModulationFrequency,GlobalImagingVariables2.SpinBlowNorthwestPower,GlobalLatticeVariables2.ImagingLatticeFreezeTime,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalImagingVariables2.SecondSpinBlowOutPulseOneHalfExtAmplitude,GlobalLatticeVariables2.UnloadLatticeYPower,GlobalLatticeVariables2.SecondDMD1RampTime,GlobalLatticeVariables2.LatticeFreezeVerticalPower,LocalVariables.XbarFrequency,LocalVariables.ScanID4,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.IsRoundTripReloading,GlobalImagingVariables2.FifthSpinBlowOutPulseDetuning,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampDelayTime,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.LoadingGradientRadialLoadingField,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,LocalVariables.ShotTypeID,GlobalMotVariables2.MotDetuningCompressed,GlobalLatticeVariables2.Dmd1ModPattern,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.IsNematicLatticeModulation,GlobalLatticeVariables2.CleanupBandInsulatorWaitTime,GlobalImagingVariables2.SecondSpinBlowOutPulseDetuning,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.DMDModulationTime,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.ReloadLatticeRampTime,LocalVariables.ScanID2,GlobalImagingVariables2.SecondSpinBlowOutPulseThreeHalvesExtAmplitude,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalMotVariables2.MotExtAmplitudeCompressed,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.NematicLatticeModulationXbarPhase,GlobalLatticeVariables2.LoadingGradientNorthwestInitialPower,LocalVariables.DMDID2,GlobalPulseVariables2.LatticeMicrowaveDuration,LocalVariables.ScanID5,GlobalLatticeVariables2.LatticeFreezePhysicsNorthwestPower,GlobalLatticeVariables2.NematicLatticeModulationFrequency,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalImagingVariables2.FourthSpinBlowOutPulseDetuning,LocalVariables.DMDID,GlobalLatticeVariables2.isUnloadReloadBI,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.UnloadLatticeXPower,GlobalImagingVariables2.SecondSpinBlowOutPulsePulseWidth,GlobalLatticeVariables2.UnloadLatticeRampTime,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.PhysicsSplitFieldRampDelayTime,GlobalImagingVariables2.SpinBlowOutPulseDetuning,GlobalLatticeVariables2.IsDMDLatticeModulation,GlobalLatticeVariables2.Dmd1PatternFilename,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.DMDModulationPreHoldTime,GlobalLatticeVariables2.NematicLatticeModulationPreHoldTime,GlobalLatticeVariables2.IsImageBIFormation,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionFinalPower,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.NematicLatticeModulationTime,GlobalLatticeVariables2.DMDModulationOffset,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalMotVariables2.MotRepumpExtAmplitudeCompressed,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalImagingVariables2.SpinBlowOutPulsePulseWidth,GlobalLatticeVariables2.isImageExpandedCheckerboard,GlobalLatticeVariables2.LatticeFreezeNorthwestPower,GlobalLatticeVariables2.DMDModulationAmplitude,GlobalImagingVariables2.SecondSpinBlowOutPulseMagneticField,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.NematicLatticeModulationPostHoldTime,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,LocalVariables.ScanID3
144,144,2025/10/12 17:15:26,932600000.0,0.3,228200000.0,0.0,0.1634945,2.5,0.018000000000000002,2.9999999999999997e-05,200.0,1.5,0.02,0.005,0.0,0.007,0.02,0.0,773000000.0,0.0,0.01125,0,620000000.0,-1.4999999999999999e-05,0.0225,550.0,0.1,24.0,-6000000.0,0.0,0.2,0,0.03,300000000.0,10.0,0.03,590.0,0.1,0.875,0.0,0.014,0.78,0.0225,0.0,0.0,0.05,0.0,0.001,0.0,1.0,200.0,0.0225,854000000.0,0.0,0,0.03,0.975,93.0,0.0032,0.00025,9.999999999999999e-06,0.01,0.0,0.0,450000000.0,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0.0,0,1.0,0.0,b'251007_dmd0_iterative_compensation_pinning_20n.pkl',0.03,0.0,0.03,0.48,0.032,4.9999999999999996e-06,0,1.3,0.0,500.0,0.174746,0.0,100000.0,0.0
145,145,2025/10/12 17:15:42,1088300000.0,0.3,83506780.0,0.0,0.1634945,2.5,0.018000000000000002,2.9999999999999997e-05,200.0,1.5,0.02,0.005,0.7,0.007,0.02,0.0,773000000.0,0.0,0.01125,0,620000000.0,-1.4999999999999999e-05,0.0225,550.0,0.1,25.0,-6000000.0,0.0,0.2,0,0.03,766000000.0,10.0,0.03,590.0,0.1,0.875,0.0,0.014,0.78,0.0225,1.0,0.0,0.05,0.0,0.04,0.0,1.0,200.0,0.0225,1010900000.0,0.0,0,0.03,0.975,93.0,0.0032,0.00025,9.999999999999999e-06,0.01,0.0,0.0,605500000.0,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0.0,0,1.0,0.0,b'251007_dmd0_iterative_compensation_pinning_20n.pkl',0.03,0.0,0.03,0.48,0.032,9.999999999999999e-06,0,1.3,0.0,610.0,0.174746,0.0,100000.0,0.0
146,146,2025/10/12 17:15:58,932600000.0,0.3,228200000.0,0.0,0.1634945,2.5,0.018000000000000002,2.9999999999999997e-05,200.0,1.5,0.02,0.005,0.0,0.007,0.02,0.0,773000000.0,0.0,0.01125,0,620000000.0,-1.4999999999999999e-05,0.0225,550.0,0.1,26.0,-6000000.0,0.0,0.2,0,0.03,300000000.0,10.0,0.03,590.0,0.1,0.875,0.0,0.014,0.78,0.0225,0.0,0.0,0.05,0.0,0.001,0.0,1.0,200.0,0.0225,854000000.0,0.0,0,0.03,0.975,93.0,0.0032,0.00025,9.999999999999999e-06,0.01,0.0,0.0,450000000.0,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0.0,0,1.0,0.0,b'251007_dmd0_iterative_compensation_pinning_20p.pkl',0.03,0.0,0.03,0.48,0.032,4.9999999999999996e-06,0,1.3,0.0,500.0,0.174746,0.0,100000.0,0.0
147,147,2025/10/12 17:16:13,1088300000.0,0.3,83506780.0,0.0,0.1634945,2.5,0.018000000000000002,2.9999999999999997e-05,200.0,1.5,0.02,0.005,0.7,0.007,0.02,0.0,773000000.0,0.0,0.01125,0,620000000.0,-1.4999999999999999e-05,0.0225,550.0,0.1,27.0,-6000000.0,0.0,0.2,0,0.03,766000000.0,10.0,0.03,590.0,0.1,0.875,0.0,0.014,0.78,0.0225,1.0,0.0,0.05,0.0,0.04,0.0,1.0,200.0,0.0225,1010900000.0,0.0,0,0.03,0.975,93.0,0.0032,0.00025,9.999999999999999e-06,0.01,0.0,0.0,605500000.0,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0.0,0,1.0,0.0,b'251007_dmd0_iterative_compensation_pinning_20p.pkl',0.03,0.0,0.03,0.48,0.032,9.999999999999999e-06,0,1.3,0.0,610.0,0.174746,0.0,100000.0,0.0
148,148,2025/10/12 17:16:30,932600000.0,0.3,228200000.0,0.0,0.1634945,2.5,0.018000000000000002,2.9999999999999997e-05,200.0,1.5,0.02,0.005,0.0,0.007,0.02,0.0,773000000.0,0.0,0.01125,0,620000000.0,-1.4999999999999999e-05,0.0225,550.0,0.1,28.0,-6000000.0,0.0,0.2,0,0.03,300000000.0,10.0,0.03,590.0,0.1,0.875,0.0,0.014,0.78,0.0225,0.0,0.0,0.05,0.0,0.001,0.0,1.0,200.0,0.0225,854000000.0,0.0,0,0.03,0.975,93.0,0.0032,0.00025,9.999999999999999e-06,0.01,0.0,0.0,450000000.0,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0.0,0,1.0,0.0,b'251007_dmd0_iterative_compensation_pinning_4n.pkl',0.03,0.0,0.03,0.48,0.032,4.9999999999999996e-06,0,1.3,0.0,500.0,0.174746,0.0,100000.0,0.0
149,149,2025/10/12 17:16:45,1088300000.0,0.3,83506780.0,0.0,0.1634945,2.5,0.018000000000000002,2.9999999999999997e-05,200.0,1.5,0.02,0.005,0.7,0.007,0.02,0.0,773000000.0,0.0,0.01125,0,620000000.0,-1.4999999999999999e-05,0.0225,550.0,0.1,29.0,-6000000.0,0.0,0.2,0,0.03,766000000.0,10.0,0.03,590.0,0.1,0.875,0.0,0.014,0.78,0.0225,1.0,0.0,0.05,0.0,0.04,0.0,1.0,200.0,0.0225,1010900000.0,0.0,0,0.03,0.975,93.0,0.0032,0.00025,9.999999999999999e-06,0.01,0.0,0.0,605500000.0,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0.0,0,1.0,0.0,b'251007_dmd0_iterative_compensation_pinning_4n.pkl',0.03,0.0,0.03,0.48,0.032,9.999999999999999e-06,0,1.3,0.0,610.0,0.174746,0.0,100000.0,0.0
150,150,2025/10/12 17:17:01,932600000.0,0.3,228200000.0,0.0,0.1634945,2.5,0.018000000000000002,2.9999999999999997e-05,200.0,1.5,0.02,0.005,0.0,0.007,0.02,0.0,773000000.0,0.0,0.01125,0,620000000.0,-1.4999999999999999e-05,0.0225,550.0,0.1,30.0,-6000000.0,0.0,0.2,0,0.03,300000000.0,10.0,0.03,590.0,0.1,0.875,0.0,0.014,0.78,0.0225,0.0,0.0,0.05,0.0,0.001,0.0,1.0,200.0,0.0225,854000000.0,0.0,0,0.03,0.975,93.0,0.0032,0.00025,9.999999999999999e-06,0.01,0.0,0.0,450000000.0,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0.0,0,1.0,0.0,b'251007_dmd0_iterative_compensation_pinning_4p.pkl',0.03,0.0,0.03,0.48,0.032,4.9999999999999996e-06,0,1.3,0.0,500.0,0.174746,0.0,100000.0,0.0
151,151,2025/10/12 17:17:17,1088300000.0,0.3,83506780.0,0.0,0.1634945,2.5,0.018000000000000002,2.9999999999999997e-05,200.0,1.5,0.02,0.005,0.7,0.007,0.02,0.0,773000000.0,0.0,0.01125,0,620000000.0,-1.4999999999999999e-05,0.0225,550.0,0.1,31.000000000000004,-6000000.0,0.0,0.2,0,0.03,766000000.0,10.0,0.03,590.0,0.1,0.875,0.0,0.014,0.78,0.0225,1.0,0.0,0.05,0.0,0.04,0.0,1.0,200.0,0.0225,1010900000.0,0.0,0,0.03,0.975,93.0,0.0032,0.00025,9.999999999999999e-06,0.01,0.0,0.0,605500000.0,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0.0,0,1.0,0.0,b'251007_dmd0_iterative_compensation_pinning_4p.pkl',0.03,0.0,0.03,0.48,0.032,9.999999999999999e-06,0,1.3,0.0,610.0,0.174746,0.0,100000.0,0.0
152,152,2025/10/12 17:17:33,932600000.0,0.3,228200000.0,0.0,0.1634945,2.5,0.018000000000000002,2.9999999999999997e-05,200.0,1.5,0.02,0.005,0.0,0.007,0.02,0.0,773000000.0,0.0,0.01125,0,620000000.0,-1.4999999999999999e-05,0.0225,550.0,0.1,32.0,-6000000.0,0.0,0.2,0,0.03,300000000.0,10.0,0.03,590.0,0.1,0.875,0.0,0.014,0.78,0.0225,0.0,0.0,0.05,0.0,0.001,0.0,1.0,200.0,0.0225,854000000.0,0.0,0,0.03,0.975,93.0,0.0032,0.00025,9.999999999999999e-06,0.01,0.0,0.0,450000000.0,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0.0,0,1.0,0.0,b'251007_dmd0_iterative_compensation_pinning_6n.pkl',0.03,0.0,0.03,0.48,0.032,4.9999999999999996e-06,0,1.3,0.0,500.0,0.174746,0.0,100000.0,0.0
153,153,2025/10/12 17:17:49,1088300000.0,0.3,83506780.0,0.0,0.1634945,2.5,0.018000000000000002,2.9999999999999997e-05,200.0,1.5,0.02,0.005,0.7,0.007,0.02,0.0,773000000.0,0.0,0.01125,0,620000000.0,-1.4999999999999999e-05,0.0225,550.0,0.1,33.0,-6000000.0,0.0,0.2,0,0.03,766000000.0,10.0,0.03,590.0,0.1,0.875,0.0,0.014,0.78,0.0225,1.0,0.0,0.05,0.0,0.04,0.0,1.0,200.0,0.0225,1010900000.0,0.0,0,0.03,0.975,93.0,0.0032,0.00025,9.999999999999999e-06,0.01,0.0,0.0,605500000.0,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0.0,0,1.0,0.0,b'251007_dmd0_iterative_compensation_pinning_6n.pkl',0.03,0.0,0.03,0.48,0.032,9.999999999999999e-06,0,1.3,0.0,610.0,0.174746,0.0,100000.0,0.0
154,154,2025/10/12 17:18:05,932600000.0,0.3,228200000.0,0.0,0.1634945,2.5,0.018000000000000002,2.9999999999999997e-05,200.0,1.5,0.02,0.005,0.0,0.007,0.02,0.0,773000000.0,0.0,0.01125,0,620000000.0,-1.4999999999999999e-05,0.0225,550.0,0.1,34.0,-6000000.0,0.0,0.2,0,0.03,300000000.0,10.0,0.03,590.0,0.1,0.875,0.0,0.014,0.78,0.0225,0.0,0.0,0.05,0.0,0.001,0.0,1.0,200.0,0.0225,854000000.0,0.0,0,0.03,0.975,93.0,0.0032,0.00025,9.999999999999999e-06,0.01,0.0,0.0,450000000.0,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0.0,0,1.0,0.0,b'251007_dmd0_iterative_compensation_pinning_6p.pkl',0.03,0.0,0.03,0.48,0.032,4.9999999999999996e-06,0,1.3,0.0,500.0,0.174746,0.0,100000.0,0.0
155,155,2025/10/12 17:18:20,1088300000.0,0.3,83506780.0,0.0,0.1634945,2.5,0.018000000000000002,2.9999999999999997e-05,200.0,1.5,0.02,0.005,0.7,0.007,0.02,0.0,773000000.0,0.0,0.01125,0,620000000.0,-1.4999999999999999e-05,0.0225,550.0,0.1,35.0,-6000000.0,0.0,0.2,0,0.03,766000000.0,10.0,0.03,590.0,0.1,0.875,0.0,0.014,0.78,0.0225,1.0,0.0,0.05,0.0,0.04,0.0,1.0,200.0,0.0225,1010900000.0,0.0,0,0.03,0.975,93.0,0.0032,0.00025,9.999999999999999e-06,0.01,0.0,0.0,605500000.0,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0.0,0,1.0,0.0,b'251007_dmd0_iterative_compensation_pinning_6p.pkl',0.03,0.0,0.03,0.48,0.032,9.999999999999999e-06,0,1.3,0.0,610.0,0.174746,0.0,100000.0,0.0
156,156,2025/10/12 17:18:37,932600000.0,0.3,228200000.0,0.0,0.1634945,2.5,0.018000000000000002,2.9999999999999997e-05,200.0,1.5,0.02,0.005,0.0,0.007,0.02,0.0,773000000.0,0.0,0.01125,0,620000000.0,-1.4999999999999999e-05,0.0225,550.0,0.1,36.0,-6000000.0,0.0,0.2,0,0.03,300000000.0,10.0,0.03,590.0,0.1,0.875,0.0,0.014,0.78,0.0225,0.0,0.0,0.05,0.0,0.001,0.0,1.0,200.0,0.0225,854000000.0,0.0,0,0.03,0.975,93.0,0.0032,0.00025,9.999999999999999e-06,0.01,0.0,0.0,450000000.0,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0.0,0,1.0,0.0,b'251007_dmd0_iterative_compensation_pinning_8n.pkl',0.03,0.0,0.03,0.48,0.032,4.9999999999999996e-06,0,1.3,0.0,500.0,0.174746,0.0,100000.0,0.0
157,157,2025/10/12 17:18:52,1088300000.0,0.3,83506780.0,0.0,0.1634945,2.5,0.018000000000000002,2.9999999999999997e-05,200.0,1.5,0.02,0.005,0.7,0.007,0.02,0.0,773000000.0,0.0,0.01125,0,620000000.0,-1.4999999999999999e-05,0.0225,550.0,0.1,37.0,-6000000.0,0.0,0.2,0,0.03,766000000.0,10.0,0.03,590.0,0.1,0.875,0.0,0.014,0.78,0.0225,1.0,0.0,0.05,0.0,0.04,0.0,1.0,200.0,0.0225,1010900000.0,0.0,0,0.03,0.975,93.0,0.0032,0.00025,9.999999999999999e-06,0.01,0.0,0.0,605500000.0,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0.0,0,1.0,0.0,b'251007_dmd0_iterative_compensation_pinning_8n.pkl',0.03,0.0,0.03,0.48,0.032,9.999999999999999e-06,0,1.3,0.0,610.0,0.174746,0.0,100000.0,0.0
158,158,2025/10/12 17:19:08,932600000.0,0.3,228200000.0,0.0,0.1634945,2.5,0.018000000000000002,2.9999999999999997e-05,200.0,1.5,0.02,0.005,0.0,0.007,0.02,0.0,773000000.0,0.0,0.01125,0,620000000.0,-1.4999999999999999e-05,0.0225,550.0,0.1,38.0,-6000000.0,0.0,0.2,0,0.03,300000000.0,10.0,0.03,590.0,0.1,0.875,0.0,0.014,0.78,0.0225,0.0,0.0,0.05,0.0,0.001,0.0,1.0,200.0,0.0225,854000000.0,0.0,0,0.03,0.975,93.0,0.0032,0.00025,9.999999999999999e-06,0.01,0.0,0.0,450000000.0,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0.0,0,1.0,0.0,b'251007_dmd0_iterative_compensation_pinning_8p.pkl',0.03,0.0,0.03,0.48,0.032,4.9999999999999996e-06,0,1.3,0.0,500.0,0.174746,0.0,100000.0,0.0
159,159,2025/10/12 17:19:24,1088300000.0,0.3,83506780.0,0.0,0.1634945,2.5,0.018000000000000002,2.9999999999999997e-05,200.0,1.5,0.02,0.005,0.7,0.007,0.02,0.0,773000000.0,0.0,0.01125,0,620000000.0,-1.4999999999999999e-05,0.0225,550.0,0.1,39.0,-6000000.0,0.0,0.2,0,0.03,766000000.0,10.0,0.03,590.0,0.1,0.875,0.0,0.014,0.78,0.0225,1.0,0.0,0.05,0.0,0.04,0.0,1.0,200.0,0.0225,1010900000.0,0.0,0,0.03,0.975,93.0,0.0032,0.00025,9.999999999999999e-06,0.01,0.0,0.0,605500000.0,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0.0,0,1.0,0.0,b'251007_dmd0_iterative_compensation_pinning_8p.pkl',0.03,0.0,0.03,0.48,0.032,9.999999999999999e-06,0,1.3,0.0,610.0,0.174746,0.0,100000.0,0.0
160,160,2025/10/12 17:19:40,932600000.0,0.3,228200000.0,0.0,0.1634945,2.5,0.018000000000000002,2.9999999999999997e-05,200.0,1.5,0.02,0.005,0.0,0.007,0.02,0.0,773000000.0,0.0,0.01125,0,620000000.0,-1.4999999999999999e-05,0.0225,550.0,0.1,40.0,-6000000.0,0.0,0.2,0,0.03,300000000.0,10.0,0.03,590.0,0.1,0.875,0.0,0.014,0.78,0.0225,0.0,0.0,0.05,0.0,0.001,0.0,1.0,200.0,0.0225,854000000.0,0.0,0,0.03,0.975,93.0,0.0032,0.00025,9.999999999999999e-06,0.01,0.0,0.0,450000000.0,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0.0,0,1.0,0.0,b'251007_dmd0_iterative_compensation_pinning_10n.pkl',0.03,0.0,0.03,0.48,0.032,4.9999999999999996e-06,0,1.3,0.0,500.0,0.174746,0.0,100000.0,0.0
161,161,2025/10/12 17:19:55,1088300000.0,0.3,83506780.0,0.0,0.1634945,2.5,0.018000000000000002,2.9999999999999997e-05,200.0,1.5,0.02,0.005,0.7,0.007,0.02,0.0,773000000.0,0.0,0.01125,0,620000000.0,-1.4999999999999999e-05,0.0225,550.0,0.1,41.0,-6000000.0,0.0,0.2,0,0.03,766000000.0,10.0,0.03,590.0,0.1,0.875,0.0,0.014,0.78,0.0225,1.0,0.0,0.05,0.0,0.04,0.0,1.0,200.0,0.0225,1010900000.0,0.0,0,0.03,0.975,93.0,0.0032,0.00025,9.999999999999999e-06,0.01,0.0,0.0,605500000.0,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0.0,0,1.0,0.0,b'251007_dmd0_iterative_compensation_pinning_10n.pkl',0.03,0.0,0.03,0.48,0.032,9.999999999999999e-06,0,1.3,0.0,610.0,0.174746,0.0,100000.0,0.0
162,162,2025/10/12 17:20:12,932600000.0,0.3,228200000.0,0.0,0.1634945,2.5,0.018000000000000002,2.9999999999999997e-05,200.0,1.5,0.02,0.005,0.0,0.007,0.02,0.0,773000000.0,0.0,0.01125,0,620000000.0,-1.4999999999999999e-05,0.0225,550.0,0.1,42.0,-6000000.0,0.0,0.2,0,0.03,300000000.0,10.0,0.03,590.0,0.1,0.875,0.0,0.014,0.78,0.0225,0.0,0.0,0.05,0.0,0.001,0.0,1.0,200.0,0.0225,854000000.0,0.0,0,0.03,0.975,93.0,0.0032,0.00025,9.999999999999999e-06,0.01,0.0,0.0,450000000.0,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0.0,0,1.0,0.0,b'251007_dmd0_iterative_compensation_pinning_10p.pkl',0.03,0.0,0.03,0.48,0.032,4.9999999999999996e-06,0,1.3,0.0,500.0,0.174746,0.0,100000.0,0.0
163,163,2025/10/12 17:20:27,1088300000.0,0.3,83506780.0,0.0,0.1634945,2.5,0.018000000000000002,2.9999999999999997e-05,200.0,1.5,0.02,0.005,0.7,0.007,0.02,0.0,773000000.0,0.0,0.01125,0,620000000.0,-1.4999999999999999e-05,0.0225,550.0,0.1,43.0,-6000000.0,0.0,0.2,0,0.03,766000000.0,10.0,0.03,590.0,0.1,0.875,0.0,0.014,0.78,0.0225,1.0,0.0,0.05,0.0,0.04,0.0,1.0,200.0,0.0225,1010900000.0,0.0,0,0.03,0.975,93.0,0.0032,0.00025,9.999999999999999e-06,0.01,0.0,0.0,605500000.0,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0.0,0,1.0,0.0,b'251007_dmd0_iterative_compensation_pinning_10p.pkl',0.03,0.0,0.03,0.48,0.032,9.999999999999999e-06,0,1.3,0.0,610.0,0.174746,0.0,100000.0,0.0
164,164,2025/10/12 17:20:43,932600000.0,0.3,228200000.0,0.0,0.1634945,2.5,0.018000000000000002,2.9999999999999997e-05,200.0,1.5,0.02,0.005,0.0,0.007,0.02,0.0,773000000.0,0.0,0.01125,0,620000000.0,-1.4999999999999999e-05,0.0225,550.0,0.1,44.0,-6000000.0,0.0,0.2,0,0.03,300000000.0,10.0,0.03,590.0,0.1,0.875,0.0,0.014,0.78,0.0225,0.0,0.0,0.05,0.0,0.001,0.0,1.0,200.0,0.0225,854000000.0,0.0,0,0.03,0.975,93.0,0.0032,0.00025,9.999999999999999e-06,0.01,0.0,0.0,450000000.0,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0.0,0,1.0,0.0,b'251007_dmd0_iterative_compensation_pinning_12n.pkl',0.03,0.0,0.03,0.48,0.032,4.9999999999999996e-06,0,1.3,0.0,500.0,0.174746,0.0,100000.0,0.0
165,165,2025/10/12 17:20:59,1088300000.0,0.3,83506780.0,0.0,0.1634945,2.5,0.018000000000000002,2.9999999999999997e-05,200.0,1.5,0.02,0.005,0.7,0.007,0.02,0.0,773000000.0,0.0,0.01125,0,620000000.0,-1.4999999999999999e-05,0.0225,550.0,0.1,45.0,-6000000.0,0.0,0.2,0,0.03,766000000.0,10.0,0.03,590.0,0.1,0.875,0.0,0.014,0.78,0.0225,1.0,0.0,0.05,0.0,0.04,0.0,1.0,200.0,0.0225,1010900000.0,0.0,0,0.03,0.975,93.0,0.0032,0.00025,9.999999999999999e-06,0.01,0.0,0.0,605500000.0,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0.0,0,1.0,0.0,b'251007_dmd0_iterative_compensation_pinning_12n.pkl',0.03,0.0,0.03,0.48,0.032,9.999999999999999e-06,0,1.3,0.0,610.0,0.174746,0.0,100000.0,0.0
166,166,2025/10/12 17:21:15,932600000.0,0.3,228200000.0,0.0,0.1634945,2.5,0.018000000000000002,2.9999999999999997e-05,200.0,1.5,0.02,0.005,0.0,0.007,0.02,0.0,773000000.0,0.0,0.01125,0,620000000.0,-1.4999999999999999e-05,0.0225,550.0,0.1,46.0,-6000000.0,0.0,0.2,0,0.03,300000000.0,10.0,0.03,590.0,0.1,0.875,0.0,0.014,0.78,0.0225,0.0,0.0,0.05,0.0,0.001,0.0,1.0,200.0,0.0225,854000000.0,0.0,0,0.03,0.975,93.0,0.0032,0.00025,9.999999999999999e-06,0.01,0.0,0.0,450000000.0,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0.0,0,1.0,0.0,b'251007_dmd0_iterative_compensation_pinning_12p.pkl',0.03,0.0,0.03,0.48,0.032,4.9999999999999996e-06,0,1.3,0.0,500.0,0.174746,0.0,100000.0,0.0
167,167,2025/10/12 17:21:30,1088300000.0,0.3,83506780.0,0.0,0.1634945,2.5,0.018000000000000002,2.9999999999999997e-05,200.0,1.5,0.02,0.005,0.7,0.007,0.02,0.0,773000000.0,0.0,0.01125,0,620000000.0,-1.4999999999999999e-05,0.0225,550.0,0.1,47.0,-6000000.0,0.0,0.2,0,0.03,766000000.0,10.0,0.03,590.0,0.1,0.875,0.0,0.014,0.78,0.0225,1.0,0.0,0.05,0.0,0.04,0.0,1.0,200.0,0.0225,1010900000.0,0.0,0,0.03,0.975,93.0,0.0032,0.00025,9.999999999999999e-06,0.01,0.0,0.0,605500000.0,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0.0,0,1.0,0.0,b'251007_dmd0_iterative_compensation_pinning_12p.pkl',0.03,0.0,0.03,0.48,0.032,9.999999999999999e-06,0,1.3,0.0,610.0,0.174746,0.0,100000.0,0.0
