shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.UnloadLatticeYPower,GlobalLatticeVariables2.LoadingGradientRadialLoadingField,GlobalLatticeVariables2.DMDModulationOffset,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.DMDModulationFrequency,LocalVariables.XbarFrequency,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.IsNematicLatticeModulation,GlobalLatticeVariables2.IsImageBIFormation,GlobalLatticeVariables2.IsDMDLatticeModulation,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampDelayTime,GlobalImagingVariables2.FifthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.isImageExpandedCheckerboard,LocalVariables.ScanID5,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,LocalVariables.ShotTypeID,GlobalLatticeVariables2.ImagingLatticeFreezeTime,GlobalLatticeVariables2.LoadingGradientNorthwestInitialPower,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.NematicLatticeModulationXbarPhase,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalImagingVariables2.SecondSpinBlowOutPulsePulseWidth,GlobalLatticeVariables2.LatticeFreezeRampTime,LocalVariables.ScanID4,GlobalLatticeVariables2.NematicLatticeModulationFrequency,LocalVariables.ScanID3,GlobalLatticeVariables2.ReloadLatticeRampTime,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.UnloadLatticeRampTime,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.LatticeFreezeVerticalPower,GlobalImagingVariables2.FourthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.NematicLatticeModulationPreHoldTime,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.PhysicsSplitFieldRampDelayTime,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalMotVariables2.MotRepumpExtAmplitudeCompressed,GlobalLatticeVariables2.Dmd1PatternFilename,GlobalLatticeVariables2.LatticeFreezeNorthwestPower,GlobalLatticeVariables2.CleanupBandInsulatorWaitTime,GlobalImagingVariables2.ThirdSpinBlowOutPulseDetuning,GlobalImagingVariables2.SpinBlowOutPulsePulseWidth,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampWaitTime,LocalVariables.DMDID,GlobalLatticeVariables2.Dmd1ModPattern,GlobalImagingVariables2.SpinBlowNorthwestPower,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.DMDModulationAmplitude,LocalVariables.DMDID2,LocalVariables.ScanID2,GlobalLatticeVariables2.DMDModulationTime,GlobalLatticeVariables2.NematicLatticeModulationPostHoldTime,GlobalImagingVariables2.SecondSpinBlowOutPulseThreeHalvesExtAmplitude,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionFinalPower,GlobalScienceChamberEvaporationVariables2.AccordionCompressionDimplePower,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalImagingVariables2.SecondSpinBlowOutPulseMagneticField,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionInitialPower,GlobalLatticeVariables2.DMDModulationPreHoldTime,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalImagingVariables2.SecondSpinBlowOutPulseOneHalfExtAmplitude,GlobalLatticeVariables2.UnloadLatticeXPower,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.LatticeFreezePhysicsNorthwestPower,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.SecondDMD1RampTime,GlobalMotVariables2.MotExtAmplitudeCompressed,GlobalImagingVariables2.SpinBlowOutPulseDetuning,GlobalLatticeVariables2.NematicLatticeModulationTime,GlobalLatticeVariables2.isUnloadReloadBI,GlobalMotVariables2.MotDetuningCompressed,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.IsRoundTripReloading,GlobalImagingVariables2.SecondSpinBlowOutPulseDetuning
912,912,2025/10/03 14:41:45,0.007,550.0,0.0,93.0,200.0,773000000.0,0.174746,0,0,0,-1.4999999999999999e-05,620000000.0,100000.0,0,0.0,0.035,3.0,0.02,0.05,0.018000000000000002,590.0,0.0225,1.0,0.0,83506780.0,0.014,9.999999999999999e-06,2.9999999999999997e-05,0.0,200.0,0.0,0.1,0.0,0.01,0.03,0.0,1010900000.0,0.0,0.1,0.0,0.005,0.48,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.03,1088300000.0,9.999999999999999e-06,0.0,0.0,0.0,1.5,b'251001_dmd0_iterative_compensation_pinning_4p.pkl',0.032,0.0,0.0,0.875,0.03,0.0,0.0,1.0,0.3,0.0,0.975,610.0,2.5,0.0,0.01125,0.7,0.00025,0.1634945,0.0225,0.04,1.0,10.0,0.2,0.03,0.02,0.78,605500000.0,0.03,0,-6000000.0,0.00268,0.0225,0,766000000.0
913,913,2025/10/03 14:42:01,0.007,550.0,0.0,93.0,200.0,773000000.0,0.174746,0,0,0,-1.4999999999999999e-05,620000000.0,100000.0,0,0.0,0.035,4.0,0.02,0.05,0.018000000000000002,590.0,0.0225,0.0,0.0,228200000.0,0.014,9.999999999999999e-06,2.9999999999999997e-05,0.0,200.0,0.0,0.1,0.0,0.01,0.03,0.0,854000000.0,0.0,0.1,0.0,0.005,0.48,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.03,932600000.0,4.9999999999999996e-06,0.0,0.0,0.0,1.5,b'251001_dmd0_iterative_compensation_pinning_6n.pkl',0.032,0.0,0.0,0.875,0.03,0.0,0.0,1.0,0.3,0.0,0.975,500.0,2.5,0.0,0.01125,0.0,0.00025,0.1634945,0.0225,0.001,1.0,10.0,0.2,0.03,0.02,0.78,450000000.0,0.03,0,-6000000.0,0.00268,0.0225,0,300000000.0
914,914,2025/10/03 14:42:17,0.007,550.0,0.0,93.0,200.0,773000000.0,0.174746,0,0,0,-1.4999999999999999e-05,620000000.0,100000.0,0,0.0,0.035,5.0,0.02,0.05,0.018000000000000002,590.0,0.0225,1.0,0.0,83506780.0,0.014,9.999999999999999e-06,2.9999999999999997e-05,0.0,200.0,0.0,0.1,0.0,0.01,0.03,0.0,1010900000.0,0.0,0.1,0.0,0.005,0.48,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.03,1088300000.0,9.999999999999999e-06,0.0,0.0,0.0,1.5,b'251001_dmd0_iterative_compensation_pinning_6n.pkl',0.032,0.0,0.0,0.875,0.03,0.0,0.0,1.0,0.3,0.0,0.975,610.0,2.5,0.0,0.01125,0.7,0.00025,0.1634945,0.0225,0.04,1.0,10.0,0.2,0.03,0.02,0.78,605500000.0,0.03,0,-6000000.0,0.00268,0.0225,0,766000000.0
915,915,2025/10/03 14:42:33,0.007,550.0,0.0,93.0,200.0,773000000.0,0.174746,0,0,0,-1.4999999999999999e-05,620000000.0,100000.0,0,0.0,0.035,6.0,0.02,0.05,0.018000000000000002,590.0,0.0225,0.0,0.0,228200000.0,0.014,9.999999999999999e-06,2.9999999999999997e-05,0.0,200.0,0.0,0.1,0.0,0.01,0.03,0.0,854000000.0,0.0,0.1,0.0,0.005,0.48,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.03,932600000.0,4.9999999999999996e-06,0.0,0.0,0.0,1.5,b'251001_dmd0_iterative_compensation_pinning_6p.pkl',0.032,0.0,0.0,0.875,0.03,0.0,0.0,1.0,0.3,0.0,0.975,500.0,2.5,0.0,0.01125,0.0,0.00025,0.1634945,0.0225,0.001,1.0,10.0,0.2,0.03,0.02,0.78,450000000.0,0.03,0,-6000000.0,0.00268,0.0225,0,300000000.0
916,916,2025/10/03 14:42:49,0.007,550.0,0.0,93.0,200.0,773000000.0,0.174746,0,0,0,-1.4999999999999999e-05,620000000.0,100000.0,0,0.0,0.035,7.000000000000001,0.02,0.05,0.018000000000000002,590.0,0.0225,1.0,0.0,83506780.0,0.014,9.999999999999999e-06,2.9999999999999997e-05,0.0,200.0,0.0,0.1,0.0,0.01,0.03,0.0,1010900000.0,0.0,0.1,0.0,0.005,0.48,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.03,1088300000.0,9.999999999999999e-06,0.0,0.0,0.0,1.5,b'251001_dmd0_iterative_compensation_pinning_6p.pkl',0.032,0.0,0.0,0.875,0.03,0.0,0.0,1.0,0.3,0.0,0.975,610.0,2.5,0.0,0.01125,0.7,0.00025,0.1634945,0.0225,0.04,1.0,10.0,0.2,0.03,0.02,0.78,605500000.0,0.03,0,-6000000.0,0.00268,0.0225,0,766000000.0
917,917,2025/10/03 14:43:05,0.007,550.0,0.0,93.0,200.0,773000000.0,0.174746,0,0,0,-1.4999999999999999e-05,620000000.0,100000.0,0,0.0,0.035,8.0,0.02,0.05,0.018000000000000002,590.0,0.0225,0.0,0.0,228200000.0,0.014,9.999999999999999e-06,2.9999999999999997e-05,0.0,200.0,0.0,0.1,0.0,0.01,0.03,0.0,854000000.0,0.0,0.1,0.0,0.005,0.48,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.03,932600000.0,4.9999999999999996e-06,0.0,0.0,0.0,1.5,b'251001_dmd0_iterative_compensation_pinning_8n.pkl',0.032,0.0,0.0,0.875,0.03,0.0,0.0,1.0,0.3,0.0,0.975,500.0,2.5,0.0,0.01125,0.0,0.00025,0.1634945,0.0225,0.001,1.0,10.0,0.2,0.03,0.02,0.78,450000000.0,0.03,0,-6000000.0,0.00268,0.0225,0,300000000.0
918,918,2025/10/03 14:43:21,0.007,550.0,0.0,93.0,200.0,773000000.0,0.174746,0,0,0,-1.4999999999999999e-05,620000000.0,100000.0,0,0.0,0.035,9.0,0.02,0.05,0.018000000000000002,590.0,0.0225,1.0,0.0,83506780.0,0.014,9.999999999999999e-06,2.9999999999999997e-05,0.0,200.0,0.0,0.1,0.0,0.01,0.03,0.0,1010900000.0,0.0,0.1,0.0,0.005,0.48,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.03,1088300000.0,9.999999999999999e-06,0.0,0.0,0.0,1.5,b'251001_dmd0_iterative_compensation_pinning_8n.pkl',0.032,0.0,0.0,0.875,0.03,0.0,0.0,1.0,0.3,0.0,0.975,610.0,2.5,0.0,0.01125,0.7,0.00025,0.1634945,0.0225,0.04,1.0,10.0,0.2,0.03,0.02,0.78,605500000.0,0.03,0,-6000000.0,0.00268,0.0225,0,766000000.0
919,919,2025/10/03 14:43:37,0.007,550.0,0.0,93.0,200.0,773000000.0,0.174746,0,0,0,-1.4999999999999999e-05,620000000.0,100000.0,0,0.0,0.035,10.0,0.02,0.05,0.018000000000000002,590.0,0.0225,0.0,0.0,228200000.0,0.014,9.999999999999999e-06,2.9999999999999997e-05,0.0,200.0,0.0,0.1,0.0,0.01,0.03,0.0,854000000.0,0.0,0.1,0.0,0.005,0.48,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.03,932600000.0,4.9999999999999996e-06,0.0,0.0,0.0,1.5,b'251001_dmd0_iterative_compensation_pinning_8p.pkl',0.032,0.0,0.0,0.875,0.03,0.0,0.0,1.0,0.3,0.0,0.975,500.0,2.5,0.0,0.01125,0.0,0.00025,0.1634945,0.0225,0.001,1.0,10.0,0.2,0.03,0.02,0.78,450000000.0,0.03,0,-6000000.0,0.00268,0.0225,0,300000000.0
920,920,2025/10/03 14:43:53,0.007,550.0,0.0,93.0,200.0,773000000.0,0.174746,0,0,0,-1.4999999999999999e-05,620000000.0,100000.0,0,0.0,0.035,11.0,0.02,0.05,0.018000000000000002,590.0,0.0225,1.0,0.0,83506780.0,0.014,9.999999999999999e-06,2.9999999999999997e-05,0.0,200.0,0.0,0.1,0.0,0.01,0.03,0.0,1010900000.0,0.0,0.1,0.0,0.005,0.48,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.03,1088300000.0,9.999999999999999e-06,0.0,0.0,0.0,1.5,b'251001_dmd0_iterative_compensation_pinning_8p.pkl',0.032,0.0,0.0,0.875,0.03,0.0,0.0,1.0,0.3,0.0,0.975,610.0,2.5,0.0,0.01125,0.7,0.00025,0.1634945,0.0225,0.04,1.0,10.0,0.2,0.03,0.02,0.78,605500000.0,0.03,0,-6000000.0,0.00268,0.0225,0,766000000.0
921,921,2025/10/03 14:44:10,0.007,550.0,0.0,93.0,200.0,773000000.0,0.174746,0,0,0,-1.4999999999999999e-05,620000000.0,100000.0,0,0.0,0.035,12.0,0.02,0.05,0.018000000000000002,590.0,0.0225,0.0,0.0,228200000.0,0.014,9.999999999999999e-06,2.9999999999999997e-05,0.0,200.0,0.0,0.1,0.0,0.01,0.03,0.0,854000000.0,0.0,0.1,0.0,0.005,0.48,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.03,932600000.0,4.9999999999999996e-06,0.0,0.0,0.0,1.5,b'251001_dmd0_iterative_compensation_pinning_10n.pkl',0.032,0.0,0.0,0.875,0.03,0.0,0.0,1.0,0.3,0.0,0.975,500.0,2.5,0.0,0.01125,0.0,0.00025,0.1634945,0.0225,0.001,1.0,10.0,0.2,0.03,0.02,0.78,450000000.0,0.03,0,-6000000.0,0.00268,0.0225,0,300000000.0
922,922,2025/10/03 14:44:26,0.007,550.0,0.0,93.0,200.0,773000000.0,0.174746,0,0,0,-1.4999999999999999e-05,620000000.0,100000.0,0,0.0,0.035,13.0,0.02,0.05,0.018000000000000002,590.0,0.0225,1.0,0.0,83506780.0,0.014,9.999999999999999e-06,2.9999999999999997e-05,0.0,200.0,0.0,0.1,0.0,0.01,0.03,0.0,1010900000.0,0.0,0.1,0.0,0.005,0.48,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.03,1088300000.0,9.999999999999999e-06,0.0,0.0,0.0,1.5,b'251001_dmd0_iterative_compensation_pinning_10n.pkl',0.032,0.0,0.0,0.875,0.03,0.0,0.0,1.0,0.3,0.0,0.975,610.0,2.5,0.0,0.01125,0.7,0.00025,0.1634945,0.0225,0.04,1.0,10.0,0.2,0.03,0.02,0.78,605500000.0,0.03,0,-6000000.0,0.00268,0.0225,0,766000000.0
923,923,2025/10/03 14:44:43,0.007,550.0,0.0,93.0,200.0,773000000.0,0.174746,0,0,0,-1.4999999999999999e-05,620000000.0,100000.0,0,0.0,0.035,14.000000000000002,0.02,0.05,0.018000000000000002,590.0,0.0225,0.0,0.0,228200000.0,0.014,9.999999999999999e-06,2.9999999999999997e-05,0.0,200.0,0.0,0.1,0.0,0.01,0.03,0.0,854000000.0,0.0,0.1,0.0,0.005,0.48,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.03,932600000.0,4.9999999999999996e-06,0.0,0.0,0.0,1.5,b'251001_dmd0_iterative_compensation_pinning_10p.pkl',0.032,0.0,0.0,0.875,0.03,0.0,0.0,1.0,0.3,0.0,0.975,500.0,2.5,0.0,0.01125,0.0,0.00025,0.1634945,0.0225,0.001,1.0,10.0,0.2,0.03,0.02,0.78,450000000.0,0.03,0,-6000000.0,0.00268,0.0225,0,300000000.0
924,924,2025/10/03 14:45:00,0.007,550.0,0.0,93.0,200.0,773000000.0,0.174746,0,0,0,-1.4999999999999999e-05,620000000.0,100000.0,0,0.0,0.035,15.0,0.02,0.05,0.018000000000000002,590.0,0.0225,1.0,0.0,83506780.0,0.014,9.999999999999999e-06,2.9999999999999997e-05,0.0,200.0,0.0,0.1,0.0,0.01,0.03,0.0,1010900000.0,0.0,0.1,0.0,0.005,0.48,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.03,1088300000.0,9.999999999999999e-06,0.0,0.0,0.0,1.5,b'251001_dmd0_iterative_compensation_pinning_10p.pkl',0.032,0.0,0.0,0.875,0.03,0.0,0.0,1.0,0.3,0.0,0.975,610.0,2.5,0.0,0.01125,0.7,0.00025,0.1634945,0.0225,0.04,1.0,10.0,0.2,0.03,0.02,0.78,605500000.0,0.03,0,-6000000.0,0.00268,0.0225,0,766000000.0
925,925,2025/10/03 14:45:17,0.007,550.0,0.0,93.0,200.0,773000000.0,0.174746,0,0,0,-1.4999999999999999e-05,620000000.0,100000.0,0,0.0,0.035,16.0,0.02,0.05,0.018000000000000002,590.0,0.0225,0.0,0.0,228200000.0,0.014,9.999999999999999e-06,2.9999999999999997e-05,0.0,200.0,0.0,0.1,0.0,0.01,0.03,0.0,854000000.0,0.0,0.1,0.0,0.005,0.48,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.03,932600000.0,4.9999999999999996e-06,0.0,0.0,0.0,1.5,b'251001_dmd0_iterative_compensation_pinning_12n.pkl',0.032,0.0,0.0,0.875,0.03,0.0,0.0,1.0,0.3,0.0,0.975,500.0,2.5,0.0,0.01125,0.0,0.00025,0.1634945,0.0225,0.001,1.0,10.0,0.2,0.03,0.02,0.78,450000000.0,0.03,0,-6000000.0,0.00268,0.0225,0,300000000.0
926,926,2025/10/03 14:45:33,0.007,550.0,0.0,93.0,200.0,773000000.0,0.174746,0,0,0,-1.4999999999999999e-05,620000000.0,100000.0,0,0.0,0.035,17.0,0.02,0.05,0.018000000000000002,590.0,0.0225,1.0,0.0,83506780.0,0.014,9.999999999999999e-06,2.9999999999999997e-05,0.0,200.0,0.0,0.1,0.0,0.01,0.03,0.0,1010900000.0,0.0,0.1,0.0,0.005,0.48,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.03,1088300000.0,9.999999999999999e-06,0.0,0.0,0.0,1.5,b'251001_dmd0_iterative_compensation_pinning_12n.pkl',0.032,0.0,0.0,0.875,0.03,0.0,0.0,1.0,0.3,0.0,0.975,610.0,2.5,0.0,0.01125,0.7,0.00025,0.1634945,0.0225,0.04,1.0,10.0,0.2,0.03,0.02,0.78,605500000.0,0.03,0,-6000000.0,0.00268,0.0225,0,766000000.0
927,927,2025/10/03 14:45:50,0.007,550.0,0.0,93.0,200.0,773000000.0,0.174746,0,0,0,-1.4999999999999999e-05,620000000.0,100000.0,0,0.0,0.035,18.0,0.02,0.05,0.018000000000000002,590.0,0.0225,0.0,0.0,228200000.0,0.014,9.999999999999999e-06,2.9999999999999997e-05,0.0,200.0,0.0,0.1,0.0,0.01,0.03,0.0,854000000.0,0.0,0.1,0.0,0.005,0.48,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.03,932600000.0,4.9999999999999996e-06,0.0,0.0,0.0,1.5,b'251001_dmd0_iterative_compensation_pinning_12p.pkl',0.032,0.0,0.0,0.875,0.03,0.0,0.0,1.0,0.3,0.0,0.975,500.0,2.5,0.0,0.01125,0.0,0.00025,0.1634945,0.0225,0.001,1.0,10.0,0.2,0.03,0.02,0.78,450000000.0,0.03,0,-6000000.0,0.00268,0.0225,0,300000000.0
928,928,2025/10/03 14:46:07,0.007,550.0,0.0,93.0,200.0,773000000.0,0.174746,0,0,0,-1.4999999999999999e-05,620000000.0,100000.0,0,0.0,0.035,19.0,0.02,0.05,0.018000000000000002,590.0,0.0225,1.0,0.0,83506780.0,0.014,9.999999999999999e-06,2.9999999999999997e-05,0.0,200.0,0.0,0.1,0.0,0.01,0.03,0.0,1010900000.0,0.0,0.1,0.0,0.005,0.48,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.03,1088300000.0,9.999999999999999e-06,0.0,0.0,0.0,1.5,b'251001_dmd0_iterative_compensation_pinning_12p.pkl',0.032,0.0,0.0,0.875,0.03,0.0,0.0,1.0,0.3,0.0,0.975,610.0,2.5,0.0,0.01125,0.7,0.00025,0.1634945,0.0225,0.04,1.0,10.0,0.2,0.03,0.02,0.78,605500000.0,0.03,0,-6000000.0,0.00268,0.0225,0,766000000.0
929,929,2025/10/03 14:46:24,0.007,550.0,0.0,93.0,200.0,773000000.0,0.174746,0,0,0,-1.4999999999999999e-05,620000000.0,100000.0,0,0.0,0.035,20.0,0.02,0.05,0.018000000000000002,590.0,0.0225,0.0,0.0,228200000.0,0.014,9.999999999999999e-06,2.9999999999999997e-05,0.0,200.0,0.0,0.1,0.0,0.01,0.03,0.0,854000000.0,0.0,0.1,0.0,0.005,0.48,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.03,932600000.0,4.9999999999999996e-06,0.0,0.0,0.0,1.5,b'251001_dmd0_iterative_compensation_pinning_20n.pkl',0.032,0.0,0.0,0.875,0.03,0.0,0.0,1.0,0.3,0.0,0.975,500.0,2.5,0.0,0.01125,0.0,0.00025,0.1634945,0.0225,0.001,1.0,10.0,0.2,0.03,0.02,0.78,450000000.0,0.03,0,-6000000.0,0.00268,0.0225,0,300000000.0
930,930,2025/10/03 14:46:40,0.007,550.0,0.0,93.0,200.0,773000000.0,0.174746,0,0,0,-1.4999999999999999e-05,620000000.0,100000.0,0,0.0,0.035,21.0,0.02,0.05,0.018000000000000002,590.0,0.0225,1.0,0.0,83506780.0,0.014,9.999999999999999e-06,2.9999999999999997e-05,0.0,200.0,0.0,0.1,0.0,0.01,0.03,0.0,1010900000.0,0.0,0.1,0.0,0.005,0.48,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.03,1088300000.0,9.999999999999999e-06,0.0,0.0,0.0,1.5,b'251001_dmd0_iterative_compensation_pinning_20n.pkl',0.032,0.0,0.0,0.875,0.03,0.0,0.0,1.0,0.3,0.0,0.975,610.0,2.5,0.0,0.01125,0.7,0.00025,0.1634945,0.0225,0.04,1.0,10.0,0.2,0.03,0.02,0.78,605500000.0,0.03,0,-6000000.0,0.00268,0.0225,0,766000000.0
931,931,2025/10/03 14:46:57,0.007,550.0,0.0,93.0,200.0,773000000.0,0.174746,0,0,0,-1.4999999999999999e-05,620000000.0,100000.0,0,0.0,0.035,22.0,0.02,0.05,0.018000000000000002,590.0,0.0225,0.0,0.0,228200000.0,0.014,9.999999999999999e-06,2.9999999999999997e-05,0.0,200.0,0.0,0.1,0.0,0.01,0.03,0.0,854000000.0,0.0,0.1,0.0,0.005,0.48,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.03,932600000.0,4.9999999999999996e-06,0.0,0.0,0.0,1.5,b'251001_dmd0_iterative_compensation_pinning_20p.pkl',0.032,0.0,0.0,0.875,0.03,0.0,0.0,1.0,0.3,0.0,0.975,500.0,2.5,0.0,0.01125,0.0,0.00025,0.1634945,0.0225,0.001,1.0,10.0,0.2,0.03,0.02,0.78,450000000.0,0.03,0,-6000000.0,0.00268,0.0225,0,300000000.0
932,932,2025/10/03 14:47:13,0.007,550.0,0.0,93.0,200.0,773000000.0,0.174746,0,0,0,-1.4999999999999999e-05,620000000.0,100000.0,0,0.0,0.035,23.0,0.02,0.05,0.018000000000000002,590.0,0.0225,1.0,0.0,83506780.0,0.014,9.999999999999999e-06,2.9999999999999997e-05,0.0,200.0,0.0,0.1,0.0,0.01,0.03,0.0,1010900000.0,0.0,0.1,0.0,0.005,0.48,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.03,1088300000.0,9.999999999999999e-06,0.0,0.0,0.0,1.5,b'251001_dmd0_iterative_compensation_pinning_20p.pkl',0.032,0.0,0.0,0.875,0.03,0.0,0.0,1.0,0.3,0.0,0.975,610.0,2.5,0.0,0.01125,0.7,0.00025,0.1634945,0.0225,0.04,1.0,10.0,0.2,0.03,0.02,0.78,605500000.0,0.03,0,-6000000.0,0.00268,0.0225,0,766000000.0
933,933,2025/10/03 14:47:30,0.007,550.0,0.0,93.0,200.0,773000000.0,0.174746,0,0,0,-1.4999999999999999e-05,620000000.0,100000.0,0,0.0,0.035,24.0,0.02,0.05,0.018000000000000002,590.0,0.0225,0.0,0.0,228200000.0,0.014,9.999999999999999e-06,2.9999999999999997e-05,0.0,200.0,0.0,0.1,0.0,0.01,0.03,0.0,854000000.0,0.0,0.1,0.0,0.005,0.48,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.03,932600000.0,4.9999999999999996e-06,0.0,0.0,0.0,1.5,b'251001_dmd0_iterative_compensation_pinning_4n.pkl',0.032,0.0,0.0,0.875,0.03,0.0,0.0,1.0,0.3,0.0,0.975,500.0,2.5,0.0,0.01125,0.0,0.00025,0.1634945,0.0225,0.001,1.0,10.0,0.2,0.03,0.02,0.78,450000000.0,0.03,0,-6000000.0,0.00268,0.0225,0,300000000.0
934,934,2025/10/03 14:47:47,0.007,550.0,0.0,93.0,200.0,773000000.0,0.174746,0,0,0,-1.4999999999999999e-05,620000000.0,100000.0,0,0.0,0.035,25.0,0.02,0.05,0.018000000000000002,590.0,0.0225,1.0,0.0,83506780.0,0.014,9.999999999999999e-06,2.9999999999999997e-05,0.0,200.0,0.0,0.1,0.0,0.01,0.03,0.0,1010900000.0,0.0,0.1,0.0,0.005,0.48,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.03,1088300000.0,9.999999999999999e-06,0.0,0.0,0.0,1.5,b'251001_dmd0_iterative_compensation_pinning_4n.pkl',0.032,0.0,0.0,0.875,0.03,0.0,0.0,1.0,0.3,0.0,0.975,610.0,2.5,0.0,0.01125,0.7,0.00025,0.1634945,0.0225,0.04,1.0,10.0,0.2,0.03,0.02,0.78,605500000.0,0.03,0,-6000000.0,0.00268,0.0225,0,766000000.0
935,935,2025/10/03 14:48:04,0.007,550.0,0.0,93.0,200.0,773000000.0,0.174746,0,0,0,-1.4999999999999999e-05,620000000.0,100000.0,0,0.0,0.035,26.0,0.02,0.05,0.018000000000000002,590.0,0.0225,0.0,0.0,228200000.0,0.014,9.999999999999999e-06,2.9999999999999997e-05,0.0,200.0,0.0,0.1,0.0,0.01,0.03,0.0,854000000.0,0.0,0.1,0.0,0.005,0.48,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.3,0.03,932600000.0,4.9999999999999996e-06,0.0,0.0,0.0,1.5,b'251001_dmd0_iterative_compensation_pinning_4p.pkl',0.032,0.0,0.0,0.875,0.03,0.0,0.0,1.0,0.3,0.0,0.975,500.0,2.5,0.0,0.01125,0.0,0.00025,0.1634945,0.0225,0.001,1.0,10.0,0.2,0.03,0.02,0.78,450000000.0,0.03,0,-6000000.0,0.00268,0.0225,0,300000000.0
