shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalImagingVariables2.SecondSpinBlowOutPulseMagneticField,GlobalLatticeVariables2.isUnloadReloadBI,GlobalImagingVariables2.ThirdSpinBlowOutPulseDetuning,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalImagingVariables2.SecondSpinBlowOutPulseOneHalfExtAmplitude,GlobalLatticeVariables2.LatticeFreezeNorthwestPower,GlobalLatticeVariables2.IsDMDLatticeModulation,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.CleanupBandInsulatorWaitTime,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.UnloadLatticeXPower,GlobalLatticeVariables2.SecondDMD1RampTime,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalMotVariables2.MotDetuningCompressed,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,LocalVariables.ShotTypeID,GlobalLatticeVariables2.NematicLatticeModulationTime,GlobalImagingVariables2.SecondSpinBlowOutPulsePulseWidth,LocalVariables.ScanID2,GlobalLatticeVariables2.NematicLatticeModulationPostHoldTime,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.IsNematicLatticeModulation,GlobalLatticeVariables2.DMDModulationTime,GlobalLatticeVariables2.NematicLatticeModulationFrequency,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampWaitTime,GlobalImagingVariables2.SecondSpinBlowOutPulseDetuning,GlobalLatticeVariables2.IsImageBIFormation,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionFinalPower,GlobalLatticeVariables2.FourthDMD0RampPower,LocalVariables.ScanID5,GlobalLatticeVariables2.ReloadLatticeRampTime,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.IsRoundTripReloading,GlobalScienceChamberEvaporationVariables2.AccordionCompressionDimplePower,GlobalMotVariables2.MotRepumpExtAmplitudeCompressed,GlobalLatticeVariables2.UnloadLatticeYPower,GlobalImagingVariables2.FourthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.Dmd1PatternFilename,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,LocalVariables.ScanID3,GlobalLatticeVariables2.LatticeFreezePhysicsNorthwestPower,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.UnloadLatticeRampTime,GlobalLatticeVariables2.isImageExpandedCheckerboard,GlobalLatticeVariables2.SecondDMD1RampPower,LocalVariables.DMDID,LocalVariables.DMDID2,GlobalLatticeVariables2.NematicLatticeModulationXbarPhase,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.DMDModulationPreHoldTime,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.Dmd1ModPattern,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.NematicLatticeModulationPreHoldTime,GlobalLatticeVariables2.PhysicsSplitFieldRampDelayTime,GlobalLatticeVariables2.LoadingGradientRadialLoadingField,GlobalImagingVariables2.SpinBlowOutPulsePulseWidth,GlobalImagingVariables2.FifthSpinBlowOutPulseDetuning,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampDelayTime,GlobalImagingVariables2.SpinBlowOutPulseDetuning,GlobalImagingVariables2.SecondSpinBlowOutPulseThreeHalvesExtAmplitude,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,LocalVariables.XbarFrequency,GlobalImagingVariables2.SpinBlowNorthwestPower,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.DMDModulationOffset,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalMotVariables2.MotExtAmplitudeCompressed,GlobalLatticeVariables2.LoadingGradientNorthwestInitialPower,GlobalLatticeVariables2.ImagingLatticeFreezeTime,GlobalLatticeVariables2.LatticeFreezeVerticalPower,LocalVariables.ScanID4,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.DMDModulationAmplitude,GlobalLatticeVariables2.DMDModulationFrequency
0,0,2025/10/19 04:30:39,0.005,2.5,0.975,500.0,0,932600000.0,228200000.0,0.001,0.035,0.0,1.3,0,0.0225,0.03,2.9999999999999997e-05,0.00025,0.02,590.0,-6000000.0,0.0,0.0,0.03,9.999999999999999e-06,0.875,0.0,0.0035,0,0.03,200.0,0.0,0.0,300000000.0,0,1.0,0.01125,0.0,0.1,0.0225,0,0.3,0.48,0.007,854000000.0,b'251016_dmd0_iterative_compensation_pinning_4n.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.2,0.0,1.0,100000.0,0.0,0.01,0,0.014,0.0,0.0,0.0,10.0,0.0,0.174746,0.0225,0.0,93.0,0.03,0.0,0.0,550.0,4.9999999999999996e-06,620000000.0,-1.4999999999999999e-05,450000000.0,0.0,0.1634945,0.03,773000000.0,1.5,0.1,0.0,0.018000000000000002,0.78,0.05,0.02,0.0,0.0,0.032,0.0,200.0
1,1,2025/10/19 04:30:56,0.005,2.5,0.975,610.0,0,1088300000.0,83506780.0,0.04,0.035,0.7,1.3,0,0.0225,0.03,2.9999999999999997e-05,0.00025,0.02,590.0,-6000000.0,0.0,1.0,0.03,9.999999999999999e-06,0.875,0.0,0.0035,0,0.03,200.0,0.0,0.0,766000000.0,0,1.0,0.01125,0.0,0.1,0.0225,0,0.3,0.48,0.007,1010900000.0,b'251016_dmd0_iterative_compensation_pinning_4n.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.2,0.0,1.0,100000.0,1.0,0.01,0,0.014,0.0,0.0,0.0,10.0,0.0,0.174746,0.0225,0.0,93.0,0.03,0.0,0.0,550.0,9.999999999999999e-06,620000000.0,-1.4999999999999999e-05,606800000.0,0.0,0.1634945,0.03,773000000.0,1.5,0.1,0.0,0.018000000000000002,0.78,0.05,0.02,0.0,0.0,0.032,0.0,200.0
2,2,2025/10/19 04:31:13,0.005,2.5,0.975,500.0,0,932600000.0,228200000.0,0.001,0.035,0.0,1.3,0,0.0225,0.03,2.9999999999999997e-05,0.00025,0.02,590.0,-6000000.0,0.0,2.0,0.03,9.999999999999999e-06,0.875,0.0,0.0035,0,0.03,200.0,0.0,0.0,300000000.0,0,1.0,0.01125,0.0,0.1,0.0225,0,0.3,0.48,0.007,854000000.0,b'251016_dmd0_iterative_compensation_pinning_4p.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.2,0.0,1.0,100000.0,0.0,0.01,0,0.014,0.0,0.0,0.0,10.0,0.0,0.174746,0.0225,0.0,93.0,0.03,0.0,0.0,550.0,4.9999999999999996e-06,620000000.0,-1.4999999999999999e-05,450000000.0,0.0,0.1634945,0.03,773000000.0,1.5,0.1,0.0,0.018000000000000002,0.78,0.05,0.02,0.0,0.0,0.032,0.0,200.0
3,3,2025/10/19 04:31:30,0.005,2.5,0.975,610.0,0,1088300000.0,83506780.0,0.04,0.035,0.7,1.3,0,0.0225,0.03,2.9999999999999997e-05,0.00025,0.02,590.0,-6000000.0,0.0,3.0,0.03,9.999999999999999e-06,0.875,0.0,0.0035,0,0.03,200.0,0.0,0.0,766000000.0,0,1.0,0.01125,0.0,0.1,0.0225,0,0.3,0.48,0.007,1010900000.0,b'251016_dmd0_iterative_compensation_pinning_4p.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.2,0.0,1.0,100000.0,1.0,0.01,0,0.014,0.0,0.0,0.0,10.0,0.0,0.174746,0.0225,0.0,93.0,0.03,0.0,0.0,550.0,9.999999999999999e-06,620000000.0,-1.4999999999999999e-05,606800000.0,0.0,0.1634945,0.03,773000000.0,1.5,0.1,0.0,0.018000000000000002,0.78,0.05,0.02,0.0,0.0,0.032,0.0,200.0
4,4,2025/10/19 04:31:46,0.005,2.5,0.975,500.0,0,932600000.0,228200000.0,0.001,0.035,0.0,1.3,0,0.0225,0.03,2.9999999999999997e-05,0.00025,0.02,590.0,-6000000.0,0.0,4.0,0.03,9.999999999999999e-06,0.875,0.0,0.0035,0,0.03,200.0,0.0,0.0,300000000.0,0,1.0,0.01125,0.0,0.1,0.0225,0,0.3,0.48,0.007,854000000.0,b'251016_dmd0_iterative_compensation_pinning_6n.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.2,0.0,1.0,100000.0,0.0,0.01,0,0.014,0.0,0.0,0.0,10.0,0.0,0.174746,0.0225,0.0,93.0,0.03,0.0,0.0,550.0,4.9999999999999996e-06,620000000.0,-1.4999999999999999e-05,450000000.0,0.0,0.1634945,0.03,773000000.0,1.5,0.1,0.0,0.018000000000000002,0.78,0.05,0.02,0.0,0.0,0.032,0.0,200.0
5,5,2025/10/19 04:32:02,0.005,2.5,0.975,610.0,0,1088300000.0,83506780.0,0.04,0.035,0.7,1.3,0,0.0225,0.03,2.9999999999999997e-05,0.00025,0.02,590.0,-6000000.0,0.0,5.0,0.03,9.999999999999999e-06,0.875,0.0,0.0035,0,0.03,200.0,0.0,0.0,766000000.0,0,1.0,0.01125,0.0,0.1,0.0225,0,0.3,0.48,0.007,1010900000.0,b'251016_dmd0_iterative_compensation_pinning_6n.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.2,0.0,1.0,100000.0,1.0,0.01,0,0.014,0.0,0.0,0.0,10.0,0.0,0.174746,0.0225,0.0,93.0,0.03,0.0,0.0,550.0,9.999999999999999e-06,620000000.0,-1.4999999999999999e-05,606800000.0,0.0,0.1634945,0.03,773000000.0,1.5,0.1,0.0,0.018000000000000002,0.78,0.05,0.02,0.0,0.0,0.032,0.0,200.0
6,6,2025/10/19 04:32:18,0.005,2.5,0.975,500.0,0,932600000.0,228200000.0,0.001,0.035,0.0,1.3,0,0.0225,0.03,2.9999999999999997e-05,0.00025,0.02,590.0,-6000000.0,0.0,6.0,0.03,9.999999999999999e-06,0.875,0.0,0.0035,0,0.03,200.0,0.0,0.0,300000000.0,0,1.0,0.01125,0.0,0.1,0.0225,0,0.3,0.48,0.007,854000000.0,b'251016_dmd0_iterative_compensation_pinning_6p.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.2,0.0,1.0,100000.0,0.0,0.01,0,0.014,0.0,0.0,0.0,10.0,0.0,0.174746,0.0225,0.0,93.0,0.03,0.0,0.0,550.0,4.9999999999999996e-06,620000000.0,-1.4999999999999999e-05,450000000.0,0.0,0.1634945,0.03,773000000.0,1.5,0.1,0.0,0.018000000000000002,0.78,0.05,0.02,0.0,0.0,0.032,0.0,200.0
7,7,2025/10/19 04:32:34,0.005,2.5,0.975,610.0,0,1088300000.0,83506780.0,0.04,0.035,0.7,1.3,0,0.0225,0.03,2.9999999999999997e-05,0.00025,0.02,590.0,-6000000.0,0.0,7.0,0.03,9.999999999999999e-06,0.875,0.0,0.0035,0,0.03,200.0,0.0,0.0,766000000.0,0,1.0,0.01125,0.0,0.1,0.0225,0,0.3,0.48,0.007,1010900000.0,b'251016_dmd0_iterative_compensation_pinning_6p.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.2,0.0,1.0,100000.0,1.0,0.01,0,0.014,0.0,0.0,0.0,10.0,0.0,0.174746,0.0225,0.0,93.0,0.03,0.0,0.0,550.0,9.999999999999999e-06,620000000.0,-1.4999999999999999e-05,606800000.0,0.0,0.1634945,0.03,773000000.0,1.5,0.1,0.0,0.018000000000000002,0.78,0.05,0.02,0.0,0.0,0.032,0.0,200.0
8,8,2025/10/19 04:32:50,0.005,2.5,0.975,500.0,0,932600000.0,228200000.0,0.001,0.035,0.0,1.3,0,0.0225,0.03,2.9999999999999997e-05,0.00025,0.02,590.0,-6000000.0,0.0,8.0,0.03,9.999999999999999e-06,0.875,0.0,0.0035,0,0.03,200.0,0.0,0.0,300000000.0,0,1.0,0.01125,0.0,0.1,0.0225,0,0.3,0.48,0.007,854000000.0,b'251016_dmd0_iterative_compensation_pinning_8n.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.2,0.0,1.0,100000.0,0.0,0.01,0,0.014,0.0,0.0,0.0,10.0,0.0,0.174746,0.0225,0.0,93.0,0.03,0.0,0.0,550.0,4.9999999999999996e-06,620000000.0,-1.4999999999999999e-05,450000000.0,0.0,0.1634945,0.03,773000000.0,1.5,0.1,0.0,0.018000000000000002,0.78,0.05,0.02,0.0,0.0,0.032,0.0,200.0
9,9,2025/10/19 04:33:06,0.005,2.5,0.975,610.0,0,1088300000.0,83506780.0,0.04,0.035,0.7,1.3,0,0.0225,0.03,2.9999999999999997e-05,0.00025,0.02,590.0,-6000000.0,0.0,9.0,0.03,9.999999999999999e-06,0.875,0.0,0.0035,0,0.03,200.0,0.0,0.0,766000000.0,0,1.0,0.01125,0.0,0.1,0.0225,0,0.3,0.48,0.007,1010900000.0,b'251016_dmd0_iterative_compensation_pinning_8n.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.2,0.0,1.0,100000.0,1.0,0.01,0,0.014,0.0,0.0,0.0,10.0,0.0,0.174746,0.0225,0.0,93.0,0.03,0.0,0.0,550.0,9.999999999999999e-06,620000000.0,-1.4999999999999999e-05,606800000.0,0.0,0.1634945,0.03,773000000.0,1.5,0.1,0.0,0.018000000000000002,0.78,0.05,0.02,0.0,0.0,0.032,0.0,200.0
