shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.UnloadLatticeXPower,GlobalImagingVariables2.SecondSpinBlowOutPulseDetuning,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalImagingVariables2.SpinBlowOutPulsePulseWidth,GlobalLatticeVariables2.NematicLatticeModulationFrequency,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampWaitTime,LocalVariables.ScanID5,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalImagingVariables2.SecondSpinBlowOutPulseOneHalfExtAmplitude,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.NematicLatticeModulationTime,GlobalLatticeVariables2.CleanupBandInsulatorWaitTime,GlobalMotVariables2.MotDetuningCompressed,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.IsNematicLatticeModulation,LocalVariables.DMDID,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,LocalVariables.ShotTypeID,GlobalImagingVariables2.SecondSpinBlowOutPulseThreeHalvesExtAmplitude,GlobalLatticeVariables2.DMDModulationAmplitude,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.LatticeFreezeNorthwestPower,GlobalLatticeVariables2.DMDModulationTime,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.PhysicsSplitFieldRampDelayTime,LocalVariables.XbarFrequency,LocalVariables.DMDID2,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.LatticeFreezePhysicsNorthwestPower,GlobalLatticeVariables2.ImagingLatticeFreezeTime,GlobalLatticeVariables2.LatticeFreezeVerticalPower,GlobalLatticeVariables2.DMDModulationOffset,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalImagingVariables2.FourthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalImagingVariables2.SecondSpinBlowOutPulseMagneticField,GlobalLatticeVariables2.LoadingGradientNorthwestInitialPower,GlobalLatticeVariables2.SecondDMD1RampTime,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.NematicLatticeModulationPostHoldTime,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,LocalVariables.ScanID3,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionFinalPower,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.LoadingGradientRadialLoadingField,GlobalImagingVariables2.ThirdSpinBlowOutPulseDetuning,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampDelayTime,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.isImageExpandedCheckerboard,GlobalLatticeVariables2.UnloadLatticeYPower,LocalVariables.ScanID4,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionInitialPower,GlobalLatticeVariables2.IsRoundTripReloading,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.DMDModulationFrequency,GlobalImagingVariables2.SecondSpinBlowOutPulsePulseWidth,LocalVariables.ScanID2,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.NematicLatticeModulationPreHoldTime,GlobalLatticeVariables2.IsDMDLatticeModulation,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.IsImageBIFormation,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.Dmd1PatternFilename,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.Dmd1ModPattern,GlobalLatticeVariables2.isUnloadReloadBI,GlobalMotVariables2.MotExtAmplitudeCompressed,GlobalMotVariables2.MotRepumpExtAmplitudeCompressed,GlobalScienceChamberEvaporationVariables2.AccordionCompressionDimplePower,GlobalLatticeVariables2.NematicLatticeModulationXbarPhase,GlobalImagingVariables2.SpinBlowOutPulseDetuning,GlobalLatticeVariables2.DMDModulationPreHoldTime,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.UnloadLatticeRampTime,GlobalLatticeVariables2.ReloadLatticeRampTime,GlobalImagingVariables2.FifthSpinBlowOutPulseDetuning,GlobalImagingVariables2.SpinBlowNorthwestPower,GlobalLatticeVariables2.FinalStateGradientCurrent
588,588,2025/10/05 09:38:16,0.00025,300000000.0,0.03,4.9999999999999996e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.0,228200000.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,108.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,854000000.0,0.0225,500.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.001,b'251001_dmd0_iterative_compensation_pinning_20n.pkl',550.0,932600000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,0.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,450000000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
589,589,2025/10/05 09:38:31,0.00025,766000000.0,0.03,9.999999999999999e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.7,83506780.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,109.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,1010900000.0,0.0225,610.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.04,b'251001_dmd0_iterative_compensation_pinning_20n.pkl',550.0,1088300000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,1.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,605500000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
590,590,2025/10/05 09:38:48,0.00025,300000000.0,0.03,4.9999999999999996e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.0,228200000.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,110.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,854000000.0,0.0225,500.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.001,b'251001_dmd0_iterative_compensation_pinning_20p.pkl',550.0,932600000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,0.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,450000000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
591,591,2025/10/05 09:39:03,0.00025,766000000.0,0.03,9.999999999999999e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.7,83506780.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,111.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,1010900000.0,0.0225,610.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.04,b'251001_dmd0_iterative_compensation_pinning_20p.pkl',550.0,1088300000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,1.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,605500000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
592,592,2025/10/05 09:39:20,0.00025,300000000.0,0.03,4.9999999999999996e-06,200.0,0.0,0.0,0.0001,0.0,228200000.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,112.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,730000000.0,0.0,0.005,1.5,0.02,0.0,0.0,0.1,854000000.0,0.0225,500.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.001,b'default.pkl',550.0,932600000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,0.0,0.0,0,0.0,1,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,450000000.0,0.0,1e-05,0.01,0.1,620000000.0,1.5,10.0
593,593,2025/10/05 09:39:35,0.00025,766000000.0,0.03,9.999999999999999e-06,200.0,0.0,0.0,0.0001,0.7,83506780.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,113.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,730000000.0,0.0,0.005,1.5,0.02,0.0,0.0,0.1,1010900000.0,0.0225,610.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.04,b'default.pkl',550.0,1088300000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,1.0,0.0,0,0.0,1,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,605500000.0,0.0,1e-05,0.01,0.1,620000000.0,1.5,10.0
594,594,2025/10/05 09:39:50,0.00025,300000000.0,0.03,4.9999999999999996e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.0,228200000.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,114.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,854000000.0,0.0225,500.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.001,b'251001_dmd0_iterative_compensation.pkl',550.0,932600000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,0.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,450000000.0,0.0,0.00268,0.01,0.1,620000000.0,1.5,10.0
595,595,2025/10/05 09:40:06,0.00025,450000000.0,0.03,4.9999999999999996e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.7,228200000.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,115.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,854000000.0,0.0225,500.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.001,b'251001_dmd0_iterative_compensation.pkl',550.0,932600000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,1.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,450000000.0,0.0,0.00268,0.01,0.1,620000000.0,1.5,10.0
596,596,2025/10/05 09:40:22,0.00025,527000000.0,0.03,4.9999999999999996e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.7,228200000.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,116.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,854000000.0,0.0225,500.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.001,b'251001_dmd0_iterative_compensation.pkl',550.0,932600000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,2.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,450000000.0,0.0,0.00268,0.01,0.1,620000000.0,1.5,10.0
597,597,2025/10/05 09:40:37,0.00025,300000000.0,0.03,4.9999999999999996e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.0,228200000.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,117.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,854000000.0,0.0225,500.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.001,b'251001_dmd0_iterative_compensation.pkl',550.0,932600000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,0.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,450000000.0,0.0,0.00268,0.01,0.1,620000000.0,1.5,10.0
598,598,2025/10/05 09:40:53,0.00025,450000000.0,0.03,4.9999999999999996e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.7,228200000.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,118.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,854000000.0,0.0225,500.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.001,b'251001_dmd0_iterative_compensation.pkl',550.0,932600000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,1.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,450000000.0,0.0,0.00268,0.01,0.1,620000000.0,1.5,10.0
599,599,2025/10/05 09:41:09,0.00025,527000000.0,0.03,4.9999999999999996e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.7,228200000.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,119.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,854000000.0,0.0225,500.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.001,b'251001_dmd0_iterative_compensation.pkl',550.0,932600000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,2.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,450000000.0,0.0,0.00268,0.01,0.1,620000000.0,1.5,10.0
600,600,2025/10/05 09:41:24,0.00025,300000000.0,0.03,4.9999999999999996e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.0,228200000.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,0.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,854000000.0,0.0225,500.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.001,b'251001_dmd0_iterative_compensation_pinning_4n.pkl',550.0,932600000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,0.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,450000000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
601,601,2025/10/05 09:41:40,0.00025,766000000.0,0.03,9.999999999999999e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.7,83506780.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,1.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,1010900000.0,0.0225,610.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.04,b'251001_dmd0_iterative_compensation_pinning_4n.pkl',550.0,1088300000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,1.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,605500000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
602,602,2025/10/05 09:41:56,0.00025,300000000.0,0.03,4.9999999999999996e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.0,228200000.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,2.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,854000000.0,0.0225,500.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.001,b'251001_dmd0_iterative_compensation_pinning_4p.pkl',550.0,932600000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,0.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,450000000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
603,603,2025/10/05 09:42:12,0.00025,766000000.0,0.03,9.999999999999999e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.7,83506780.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,3.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,1010900000.0,0.0225,610.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.04,b'251001_dmd0_iterative_compensation_pinning_4p.pkl',550.0,1088300000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,1.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,605500000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
604,604,2025/10/05 09:42:28,0.00025,300000000.0,0.03,4.9999999999999996e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.0,228200000.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,4.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,854000000.0,0.0225,500.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.001,b'251001_dmd0_iterative_compensation_pinning_6n.pkl',550.0,932600000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,0.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,450000000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
605,605,2025/10/05 09:42:44,0.00025,766000000.0,0.03,9.999999999999999e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.7,83506780.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,5.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,1010900000.0,0.0225,610.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.04,b'251001_dmd0_iterative_compensation_pinning_6n.pkl',550.0,1088300000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,1.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,605500000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
606,606,2025/10/05 09:43:00,0.00025,300000000.0,0.03,4.9999999999999996e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.0,228200000.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,6.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,854000000.0,0.0225,500.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.001,b'251001_dmd0_iterative_compensation_pinning_6p.pkl',550.0,932600000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,0.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,450000000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
607,607,2025/10/05 09:43:16,0.00025,766000000.0,0.03,9.999999999999999e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.7,83506780.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,7.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,1010900000.0,0.0225,610.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.04,b'251001_dmd0_iterative_compensation_pinning_6p.pkl',550.0,1088300000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,1.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,605500000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
608,608,2025/10/05 09:43:33,0.00025,300000000.0,0.03,4.9999999999999996e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.0,228200000.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,8.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,854000000.0,0.0225,500.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.001,b'251001_dmd0_iterative_compensation_pinning_8n.pkl',550.0,932600000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,0.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,450000000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
609,609,2025/10/05 09:43:49,0.00025,766000000.0,0.03,9.999999999999999e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.7,83506780.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,9.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,1010900000.0,0.0225,610.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.04,b'251001_dmd0_iterative_compensation_pinning_8n.pkl',550.0,1088300000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,1.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,605500000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
610,610,2025/10/05 09:44:05,0.00025,300000000.0,0.03,4.9999999999999996e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.0,228200000.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,10.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,854000000.0,0.0225,500.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.001,b'251001_dmd0_iterative_compensation_pinning_8p.pkl',550.0,932600000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,0.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,450000000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
611,611,2025/10/05 09:44:21,0.00025,766000000.0,0.03,9.999999999999999e-06,200.0,0.0,0.0,2.9999999999999997e-05,0.7,83506780.0,0.03,0.03,-6000000.0,0.018000000000000002,0,0.0,0.975,11.0,0.0,0.0,0.0225,1.3,0.03,100000.0,0.174746,0.0225,0.0,773000000.0,0.0,0.005,1.0,0.02,0.0,0.0,0.1,1010900000.0,0.0225,610.0,0.05,0.02,0.032,0.0,0.01125,93.0,0.0,590.0,0.1634945,0.2,1.0,0.04,b'251001_dmd0_iterative_compensation_pinning_8p.pkl',550.0,1088300000.0,-1.4999999999999999e-05,0.014,0,0.007,0.0,2.5,0,0.0,200.0,9.999999999999999e-06,0.875,1.0,0.0,0,0.0,0,0.03,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.0,0,0.78,0.48,0.3,0.0,605500000.0,0.0,0.002,0.01,0.1,620000000.0,1.5,10.0
