shot_idx,shot_serial,shot_start_time,GlobalImagingVariables2.SpinBlowOutPulsePulseWidth,GlobalImagingVariables2.SecondSpinBlowOutPulseMagneticField,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.NematicLatticeModulationFrequency,GlobalImagingVariables2.ThirdSpinBlowOutPulseDetuning,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,LocalVariables.XbarFrequency,GlobalLatticeVariables2.NematicLatticeModulationPostHoldTime,GlobalMotVariables2.MotDetuningCompressed,GlobalImagingVariables2.FifthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalImagingVariables2.SecondSpinBlowOutPulseThreeHalvesExtAmplitude,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.Dmd1PatternFilename,GlobalLatticeVariables2.LoadingGradientNorthwestInitialPower,LocalVariables.ScanID5,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalMotVariables2.MotRepumpExtAmplitudeCompressed,GlobalImagingVariables2.FourthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.NematicLatticeModulationXbarPhase,GlobalLatticeVariables2.IsImageBIFormation,GlobalLatticeVariables2.FinalStateGradientCurrent,LocalVariables.DMDID2,GlobalLatticeVariables2.LatticeFreezePhysicsNorthwestPower,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalImagingVariables2.SecondSpinBlowOutPulseDetuning,LocalVariables.ImagingBlowOutID,GlobalImagingVariables2.SpinBlowNorthwestPower,LocalVariables.ScanID4,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalImagingVariables2.SecondSpinBlowOutPulseOneHalfExtAmplitude,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.IsNematicLatticeModulation,GlobalLatticeVariables2.LatticeFreezeVerticalPower,GlobalScienceChamberEvaporationVariables2.AccordionCompressionDimplePower,GlobalImagingVariables2.SpinBlowOutPulseDetuning,GlobalMotVariables2.MotExtAmplitudeCompressed,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionInitialPower,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampDelayTime,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampWaitTime,GlobalLatticeVariables2.NematicLatticeModulationTime,GlobalLatticeVariables2.LoadingGradientRadialLoadingField,GlobalLatticeVariables2.NematicLatticeModulationPreHoldTime,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.SecondDMD1RampTime,GlobalLatticeVariables2.LatticeFreezeNorthwestPower,GlobalImagingVariables2.SecondSpinBlowOutPulsePulseWidth,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionFinalPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.LoadWithDmd1InitialPower,LocalVariables.ShotTypeID,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.ImagingLatticeFreezeTime
140,140,2025/06/20 10:49:25,4.9999999999999996e-06,500.0,0.1634945,0.029,200.0,932600000.0,0.975,773000000.0,0.0,-6000000.0,620000000.0,0.174746,0.01125,0.0,2.9999999999999997e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.05,0.0,0.022,0,590.0,0.48,854000000.0,0.0,0.0,0,10.0,0.0,1.0,0.1,450000000.0,1.0,1.5,0.0,0.2,0.005,0.018000000000000002,228200000.0,0.0125,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',0,0.0,0.3,450000000.0,0.78,93.0,0.001,2.5,100000.0,0.0125,-1.4999999999999999e-05,0.0,0.03,550.0,0.0,0.0021000000000000003,0.02,1.3,9.999999999999999e-06,0.0,1.0,0.033,0.009000000000000001,0.0125,16.0,0.03,0.02
141,141,2025/06/20 10:49:42,4.9999999999999996e-06,500.0,0.1634945,0.029,200.0,932600000.0,0.975,773000000.0,0.0,-6000000.0,620000000.0,0.174746,0.01125,0.0,2.9999999999999997e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.05,0.0,0.022,0,590.0,0.48,854000000.0,0.0,0.0,0,10.0,0.0,1.0,0.1,527000000.0,2.0,1.5,0.0,0.2,0.005,0.018000000000000002,228200000.0,0.0125,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',0,0.0,0.3,450000000.0,0.78,93.0,0.001,2.5,100000.0,0.0125,-1.4999999999999999e-05,0.0,0.03,550.0,0.0,0.0021000000000000003,0.02,1.3,9.999999999999999e-06,0.0,1.0,0.033,0.009000000000000001,0.0125,17.0,0.03,0.02
142,142,2025/06/20 10:50:00,4.9999999999999996e-06,500.0,0.1634945,0.029,200.0,932600000.0,0.975,773000000.0,0.0,-6000000.0,620000000.0,0.174746,0.01125,0.0,2.9999999999999997e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.05,0.0,0.022,0,590.0,0.48,854000000.0,0.0,0.0,0,10.0,0.0,1.0,0.1,450000000.0,1.0,1.5,0.0,0.2,0.005,0.018000000000000002,228200000.0,0.0125,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',0,0.0,0.3,450000000.0,0.78,93.0,0.001,2.5,100000.0,0.0125,-1.4999999999999999e-05,0.0,0.03,550.0,0.0,0.0021000000000000003,0.02,1.3,9.999999999999999e-06,0.0,1.0,0.033,0.009000000000000001,0.0125,18.0,0.03,0.02
143,143,2025/06/20 10:50:18,4.9999999999999996e-06,500.0,0.1634945,0.029,200.0,932600000.0,0.975,773000000.0,0.0,-6000000.0,620000000.0,0.174746,0.01125,0.0,2.9999999999999997e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.05,0.0,0.022,0,590.0,0.48,854000000.0,0.0,0.0,0,10.0,0.0,1.0,0.1,527000000.0,2.0,1.5,0.0,0.2,0.005,0.018000000000000002,228200000.0,0.0125,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',0,0.0,0.3,450000000.0,0.78,93.0,0.001,2.5,100000.0,0.0125,-1.4999999999999999e-05,0.0,0.03,550.0,0.0,0.0021000000000000003,0.02,1.3,9.999999999999999e-06,0.0,1.0,0.033,0.009000000000000001,0.0125,19.0,0.03,0.02
144,144,2025/06/20 10:50:35,4.9999999999999996e-06,500.0,0.1634945,0.029,200.0,932600000.0,0.975,773000000.0,0.0,-6000000.0,620000000.0,0.174746,0.01125,0.0,2.9999999999999997e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.05,0.0,0.022,0,590.0,0.48,854000000.0,0.0,0.0,0,10.0,0.0,1.0,0.1,300000000.0,0.0,1.5,0.0,0.2,0.005,0.018000000000000002,228200000.0,0.0125,0.0,b'250615_dmd0_iterative_compensation_pinning.pkl',0,0.0,0.3,450000000.0,0.78,93.0,0.001,2.5,100000.0,0.0125,-1.4999999999999999e-05,0.0,0.03,550.0,0.0,0.0022,0.02,1.3,9.999999999999999e-06,0.0,1.0,0.033,0.009000000000000001,0.0125,20.0,0.03,0.02
145,145,2025/06/20 10:50:53,9.999999999999999e-06,610.0,0.1634945,0.029,200.0,1088300000.0,0.975,773000000.0,0.0,-6000000.0,620000000.0,0.174746,0.01125,0.0,2.9999999999999997e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.05,0.0,0.022,0,590.0,0.48,1010900000.0,0.0,0.0,0,10.0,0.0,1.0,0.1,766000000.0,1.0,1.5,0.0,0.2,0.005,0.018000000000000002,83506780.0,0.0125,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',0,0.0,0.3,605500000.0,0.78,93.0,0.04,2.5,100000.0,0.0125,-1.4999999999999999e-05,0.0,0.03,550.0,0.0,0.0022,0.02,1.3,9.999999999999999e-06,0.0,1.0,0.033,0.009000000000000001,0.0125,21.0,0.03,0.02
146,146,2025/06/20 10:51:10,4.9999999999999996e-06,500.0,0.1634945,0.029,200.0,932600000.0,0.975,773000000.0,0.0,-6000000.0,620000000.0,0.174746,0.01125,0.0,2.9999999999999997e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.05,0.0,0.022,0,590.0,0.48,854000000.0,0.0,0.0,0,10.0,0.0,1.0,0.1,450000000.0,1.0,1.5,0.0,0.2,0.005,0.018000000000000002,228200000.0,0.0125,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',0,0.0,0.3,450000000.0,0.78,93.0,0.001,2.5,100000.0,0.0125,-1.4999999999999999e-05,0.0,0.03,550.0,0.0,0.0022,0.02,1.3,9.999999999999999e-06,0.0,1.0,0.033,0.009000000000000001,0.0125,22.0,0.03,0.02
147,147,2025/06/20 10:51:27,4.9999999999999996e-06,500.0,0.1634945,0.029,200.0,932600000.0,0.975,773000000.0,0.0,-6000000.0,620000000.0,0.174746,0.01125,0.0,2.9999999999999997e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.05,0.0,0.022,0,590.0,0.48,854000000.0,0.0,0.0,0,10.0,0.0,1.0,0.1,527000000.0,2.0,1.5,0.0,0.2,0.005,0.018000000000000002,228200000.0,0.0125,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',0,0.0,0.3,450000000.0,0.78,93.0,0.001,2.5,100000.0,0.0125,-1.4999999999999999e-05,0.0,0.03,550.0,0.0,0.0022,0.02,1.3,9.999999999999999e-06,0.0,1.0,0.033,0.009000000000000001,0.0125,23.0,0.03,0.02
148,148,2025/06/20 10:51:45,4.9999999999999996e-06,500.0,0.1634945,0.029,200.0,932600000.0,0.975,773000000.0,0.0,-6000000.0,620000000.0,0.174746,0.01125,0.0,2.9999999999999997e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.05,0.0,0.022,0,590.0,0.48,854000000.0,0.0,0.0,0,10.0,0.0,1.0,0.1,450000000.0,1.0,1.5,0.0,0.2,0.005,0.018000000000000002,228200000.0,0.0125,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',0,0.0,0.3,450000000.0,0.78,93.0,0.001,2.5,100000.0,0.0125,-1.4999999999999999e-05,0.0,0.03,550.0,0.0,0.0022,0.02,1.3,9.999999999999999e-06,0.0,1.0,0.033,0.009000000000000001,0.0125,24.0,0.03,0.02
149,149,2025/06/20 10:52:02,4.9999999999999996e-06,500.0,0.1634945,0.029,200.0,932600000.0,0.975,773000000.0,0.0,-6000000.0,620000000.0,0.174746,0.01125,0.0,2.9999999999999997e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.05,0.0,0.022,0,590.0,0.48,854000000.0,0.0,0.0,0,10.0,0.0,1.0,0.1,527000000.0,2.0,1.5,0.0,0.2,0.005,0.018000000000000002,228200000.0,0.0125,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',0,0.0,0.3,450000000.0,0.78,93.0,0.001,2.5,100000.0,0.0125,-1.4999999999999999e-05,0.0,0.03,550.0,0.0,0.0022,0.02,1.3,9.999999999999999e-06,0.0,1.0,0.033,0.009000000000000001,0.0125,25.0,0.03,0.02
150,150,2025/06/20 10:52:19,4.9999999999999996e-06,500.0,0.1634945,0.029,200.0,932600000.0,0.975,773000000.0,0.0,-6000000.0,620000000.0,0.174746,0.01125,0.0,2.9999999999999997e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.05,0.0,0.022,0,590.0,0.48,854000000.0,0.0,0.0,0,10.0,0.0,1.0,0.1,450000000.0,1.0,1.5,0.0,0.2,0.005,0.018000000000000002,228200000.0,0.0125,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',0,0.0,0.3,450000000.0,0.78,93.0,0.001,2.5,100000.0,0.0125,-1.4999999999999999e-05,0.0,0.03,550.0,0.0,0.0022,0.02,1.3,9.999999999999999e-06,0.0,1.0,0.033,0.009000000000000001,0.0125,26.0,0.03,0.02
151,151,2025/06/20 10:52:37,4.9999999999999996e-06,500.0,0.1634945,0.029,200.0,932600000.0,0.975,773000000.0,0.0,-6000000.0,620000000.0,0.174746,0.01125,0.0,2.9999999999999997e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.05,0.0,0.022,0,590.0,0.48,854000000.0,0.0,0.0,0,10.0,0.0,1.0,0.1,527000000.0,2.0,1.5,0.0,0.2,0.005,0.018000000000000002,228200000.0,0.0125,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',0,0.0,0.3,450000000.0,0.78,93.0,0.001,2.5,100000.0,0.0125,-1.4999999999999999e-05,0.0,0.03,550.0,0.0,0.0022,0.02,1.3,9.999999999999999e-06,0.0,1.0,0.033,0.009000000000000001,0.0125,27.0,0.03,0.02
152,152,2025/06/20 10:52:54,4.9999999999999996e-06,500.0,0.1634945,0.029,200.0,932600000.0,0.975,773000000.0,0.0,-6000000.0,620000000.0,0.174746,0.01125,0.0,2.9999999999999997e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.05,0.0,0.022,0,590.0,0.48,854000000.0,0.0,0.0,0,10.0,0.0,1.0,0.1,450000000.0,1.0,1.5,0.0,0.2,0.005,0.018000000000000002,228200000.0,0.0125,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',0,0.0,0.3,450000000.0,0.78,93.0,0.001,2.5,100000.0,0.0125,-1.4999999999999999e-05,0.0,0.03,550.0,0.0,0.0022,0.02,1.3,9.999999999999999e-06,0.0,1.0,0.033,0.009000000000000001,0.0125,28.0,0.03,0.02
153,153,2025/06/20 10:53:11,4.9999999999999996e-06,500.0,0.1634945,0.029,200.0,932600000.0,0.975,773000000.0,0.0,-6000000.0,620000000.0,0.174746,0.01125,0.0,2.9999999999999997e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.05,0.0,0.022,0,590.0,0.48,854000000.0,0.0,0.0,0,10.0,0.0,1.0,0.1,527000000.0,2.0,1.5,0.0,0.2,0.005,0.018000000000000002,228200000.0,0.0125,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',0,0.0,0.3,450000000.0,0.78,93.0,0.001,2.5,100000.0,0.0125,-1.4999999999999999e-05,0.0,0.03,550.0,0.0,0.0022,0.02,1.3,9.999999999999999e-06,0.0,1.0,0.033,0.009000000000000001,0.0125,29.0,0.03,0.02
154,154,2025/06/20 10:53:29,4.9999999999999996e-06,500.0,0.1634945,0.029,200.0,932600000.0,0.975,773000000.0,0.0,-6000000.0,620000000.0,0.174746,0.01125,0.0,2.9999999999999997e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.05,0.0,0.022,0,590.0,0.48,854000000.0,0.0,0.0,0,10.0,0.0,1.0,0.1,300000000.0,0.0,1.5,0.0,0.2,0.005,0.018000000000000002,228200000.0,0.0125,0.0,b'250615_dmd0_iterative_compensation_pinning.pkl',0,0.0,0.3,450000000.0,0.78,93.0,0.001,2.5,100000.0,0.0125,-1.4999999999999999e-05,0.0,0.03,550.0,0.0,0.0023,0.02,1.3,9.999999999999999e-06,0.0,1.0,0.033,0.009000000000000001,0.0125,30.0,0.03,0.02
155,155,2025/06/20 10:53:46,9.999999999999999e-06,610.0,0.1634945,0.029,200.0,1088300000.0,0.975,773000000.0,0.0,-6000000.0,620000000.0,0.174746,0.01125,0.0,2.9999999999999997e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.05,0.0,0.022,0,590.0,0.48,1010900000.0,0.0,0.0,0,10.0,0.0,1.0,0.1,766000000.0,1.0,1.5,0.0,0.2,0.005,0.018000000000000002,83506780.0,0.0125,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',0,0.0,0.3,605500000.0,0.78,93.0,0.04,2.5,100000.0,0.0125,-1.4999999999999999e-05,0.0,0.03,550.0,0.0,0.0023,0.02,1.3,9.999999999999999e-06,0.0,1.0,0.033,0.009000000000000001,0.0125,31.0,0.03,0.02
156,156,2025/06/20 10:54:04,4.9999999999999996e-06,500.0,0.1634945,0.029,200.0,932600000.0,0.975,773000000.0,0.0,-6000000.0,620000000.0,0.174746,0.01125,0.0,2.9999999999999997e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.05,0.0,0.022,0,590.0,0.48,854000000.0,0.0,0.0,0,10.0,0.0,1.0,0.1,450000000.0,1.0,1.5,0.0,0.2,0.005,0.018000000000000002,228200000.0,0.0125,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',0,0.0,0.3,450000000.0,0.78,93.0,0.001,2.5,100000.0,0.0125,-1.4999999999999999e-05,0.0,0.03,550.0,0.0,0.0023,0.02,1.3,9.999999999999999e-06,0.0,1.0,0.033,0.009000000000000001,0.0125,32.0,0.03,0.02
157,157,2025/06/20 10:54:21,4.9999999999999996e-06,500.0,0.1634945,0.029,200.0,932600000.0,0.975,773000000.0,0.0,-6000000.0,620000000.0,0.174746,0.01125,0.0,2.9999999999999997e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.05,0.0,0.022,0,590.0,0.48,854000000.0,0.0,0.0,0,10.0,0.0,1.0,0.1,527000000.0,2.0,1.5,0.0,0.2,0.005,0.018000000000000002,228200000.0,0.0125,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',0,0.0,0.3,450000000.0,0.78,93.0,0.001,2.5,100000.0,0.0125,-1.4999999999999999e-05,0.0,0.03,550.0,0.0,0.0023,0.02,1.3,9.999999999999999e-06,0.0,1.0,0.033,0.009000000000000001,0.0125,33.0,0.03,0.02
158,158,2025/06/20 10:54:38,4.9999999999999996e-06,500.0,0.1634945,0.029,200.0,932600000.0,0.975,773000000.0,0.0,-6000000.0,620000000.0,0.174746,0.01125,0.0,2.9999999999999997e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.05,0.0,0.022,0,590.0,0.48,854000000.0,0.0,0.0,0,10.0,0.0,1.0,0.1,450000000.0,1.0,1.5,0.0,0.2,0.005,0.018000000000000002,228200000.0,0.0125,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',0,0.0,0.3,450000000.0,0.78,93.0,0.001,2.5,100000.0,0.0125,-1.4999999999999999e-05,0.0,0.03,550.0,0.0,0.0023,0.02,1.3,9.999999999999999e-06,0.0,1.0,0.033,0.009000000000000001,0.0125,34.0,0.03,0.02
159,159,2025/06/20 10:54:56,4.9999999999999996e-06,500.0,0.1634945,0.029,200.0,932600000.0,0.975,773000000.0,0.0,-6000000.0,620000000.0,0.174746,0.01125,0.0,2.9999999999999997e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.05,0.0,0.022,0,590.0,0.48,854000000.0,0.0,0.0,0,10.0,0.0,1.0,0.1,527000000.0,2.0,1.5,0.0,0.2,0.005,0.018000000000000002,228200000.0,0.0125,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',0,0.0,0.3,450000000.0,0.78,93.0,0.001,2.5,100000.0,0.0125,-1.4999999999999999e-05,0.0,0.03,550.0,0.0,0.0023,0.02,1.3,9.999999999999999e-06,0.0,1.0,0.033,0.009000000000000001,0.0125,35.0,0.03,0.02
160,160,2025/06/20 10:55:13,4.9999999999999996e-06,500.0,0.1634945,0.029,200.0,932600000.0,0.975,773000000.0,0.0,-6000000.0,620000000.0,0.174746,0.01125,0.0,2.9999999999999997e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.05,0.0,0.022,0,590.0,0.48,854000000.0,0.0,0.0,0,10.0,0.0,1.0,0.1,450000000.0,1.0,1.5,0.0,0.2,0.005,0.018000000000000002,228200000.0,0.0125,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',0,0.0,0.3,450000000.0,0.78,93.0,0.001,2.5,100000.0,0.0125,-1.4999999999999999e-05,0.0,0.03,550.0,0.0,0.0023,0.02,1.3,9.999999999999999e-06,0.0,1.0,0.033,0.009000000000000001,0.0125,36.0,0.03,0.02
161,161,2025/06/20 10:55:30,4.9999999999999996e-06,500.0,0.1634945,0.029,200.0,932600000.0,0.975,773000000.0,0.0,-6000000.0,620000000.0,0.174746,0.01125,0.0,2.9999999999999997e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.05,0.0,0.022,0,590.0,0.48,854000000.0,0.0,0.0,0,10.0,0.0,1.0,0.1,527000000.0,2.0,1.5,0.0,0.2,0.005,0.018000000000000002,228200000.0,0.0125,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',0,0.0,0.3,450000000.0,0.78,93.0,0.001,2.5,100000.0,0.0125,-1.4999999999999999e-05,0.0,0.03,550.0,0.0,0.0023,0.02,1.3,9.999999999999999e-06,0.0,1.0,0.033,0.009000000000000001,0.0125,37.0,0.03,0.02
162,162,2025/06/20 10:55:47,4.9999999999999996e-06,500.0,0.1634945,0.029,200.0,932600000.0,0.975,773000000.0,0.0,-6000000.0,620000000.0,0.174746,0.01125,0.0,2.9999999999999997e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.05,0.0,0.022,0,590.0,0.48,854000000.0,0.0,0.0,0,10.0,0.0,1.0,0.1,450000000.0,1.0,1.5,0.0,0.2,0.005,0.018000000000000002,228200000.0,0.0125,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',0,0.0,0.3,450000000.0,0.78,93.0,0.001,2.5,100000.0,0.0125,-1.4999999999999999e-05,0.0,0.03,550.0,0.0,0.0023,0.02,1.3,9.999999999999999e-06,0.0,1.0,0.033,0.009000000000000001,0.0125,38.0,0.03,0.02
163,163,2025/06/20 10:56:05,4.9999999999999996e-06,500.0,0.1634945,0.029,200.0,932600000.0,0.975,773000000.0,0.0,-6000000.0,620000000.0,0.174746,0.01125,0.0,2.9999999999999997e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.05,0.0,0.022,0,590.0,0.48,854000000.0,0.0,0.0,0,10.0,0.0,1.0,0.1,527000000.0,2.0,1.5,0.0,0.2,0.005,0.018000000000000002,228200000.0,0.0125,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',0,0.0,0.3,450000000.0,0.78,93.0,0.001,2.5,100000.0,0.0125,-1.4999999999999999e-05,0.0,0.03,550.0,0.0,0.0023,0.02,1.3,9.999999999999999e-06,0.0,1.0,0.033,0.009000000000000001,0.0125,39.0,0.03,0.02
164,164,2025/06/20 10:56:22,4.9999999999999996e-06,500.0,0.1634945,0.029,200.0,932600000.0,0.975,773000000.0,0.0,-6000000.0,620000000.0,0.174746,0.01125,0.0,2.9999999999999997e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.05,0.0,0.022,0,590.0,0.48,854000000.0,0.0,0.0,0,10.0,0.0,1.0,0.1,300000000.0,0.0,1.5,0.0,0.2,0.005,0.018000000000000002,228200000.0,0.0125,0.0,b'250615_dmd0_iterative_compensation_pinning.pkl',0,0.0,0.3,450000000.0,0.78,93.0,0.001,2.5,100000.0,0.0125,-1.4999999999999999e-05,0.0,0.03,550.0,0.0,0.0024,0.02,1.3,9.999999999999999e-06,0.0,1.0,0.033,0.009000000000000001,0.0125,40.0,0.03,0.02
165,165,2025/06/20 10:56:39,9.999999999999999e-06,610.0,0.1634945,0.029,200.0,1088300000.0,0.975,773000000.0,0.0,-6000000.0,620000000.0,0.174746,0.01125,0.0,2.9999999999999997e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.05,0.0,0.022,0,590.0,0.48,1010900000.0,0.0,0.0,0,10.0,0.0,1.0,0.1,766000000.0,1.0,1.5,0.0,0.2,0.005,0.018000000000000002,83506780.0,0.0125,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',0,0.0,0.3,605500000.0,0.78,93.0,0.04,2.5,100000.0,0.0125,-1.4999999999999999e-05,0.0,0.03,550.0,0.0,0.0024,0.02,1.3,9.999999999999999e-06,0.0,1.0,0.033,0.009000000000000001,0.0125,41.0,0.03,0.02
166,166,2025/06/20 10:56:56,4.9999999999999996e-06,500.0,0.1634945,0.029,200.0,932600000.0,0.975,773000000.0,0.0,-6000000.0,620000000.0,0.174746,0.01125,0.0,2.9999999999999997e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.05,0.0,0.022,0,590.0,0.48,854000000.0,0.0,0.0,0,10.0,0.0,1.0,0.1,450000000.0,1.0,1.5,0.0,0.2,0.005,0.018000000000000002,228200000.0,0.0125,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',0,0.0,0.3,450000000.0,0.78,93.0,0.001,2.5,100000.0,0.0125,-1.4999999999999999e-05,0.0,0.03,550.0,0.0,0.0024,0.02,1.3,9.999999999999999e-06,0.0,1.0,0.033,0.009000000000000001,0.0125,42.0,0.03,0.02
167,167,2025/06/20 10:57:14,4.9999999999999996e-06,500.0,0.1634945,0.029,200.0,932600000.0,0.975,773000000.0,0.0,-6000000.0,620000000.0,0.174746,0.01125,0.0,2.9999999999999997e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.05,0.0,0.022,0,590.0,0.48,854000000.0,0.0,0.0,0,10.0,0.0,1.0,0.1,527000000.0,2.0,1.5,0.0,0.2,0.005,0.018000000000000002,228200000.0,0.0125,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',0,0.0,0.3,450000000.0,0.78,93.0,0.001,2.5,100000.0,0.0125,-1.4999999999999999e-05,0.0,0.03,550.0,0.0,0.0024,0.02,1.3,9.999999999999999e-06,0.0,1.0,0.033,0.009000000000000001,0.0125,43.0,0.03,0.02
168,168,2025/06/20 10:57:31,4.9999999999999996e-06,500.0,0.1634945,0.029,200.0,932600000.0,0.975,773000000.0,0.0,-6000000.0,620000000.0,0.174746,0.01125,0.0,2.9999999999999997e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.05,0.0,0.022,0,590.0,0.48,854000000.0,0.0,0.0,0,10.0,0.0,1.0,0.1,450000000.0,1.0,1.5,0.0,0.2,0.005,0.018000000000000002,228200000.0,0.0125,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',0,0.0,0.3,450000000.0,0.78,93.0,0.001,2.5,100000.0,0.0125,-1.4999999999999999e-05,0.0,0.03,550.0,0.0,0.0024,0.02,1.3,9.999999999999999e-06,0.0,1.0,0.033,0.009000000000000001,0.0125,44.0,0.03,0.02
169,169,2025/06/20 10:57:48,4.9999999999999996e-06,500.0,0.1634945,0.029,200.0,932600000.0,0.975,773000000.0,0.0,-6000000.0,620000000.0,0.174746,0.01125,0.0,2.9999999999999997e-05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.05,0.0,0.022,0,590.0,0.48,854000000.0,0.0,0.0,0,10.0,0.0,1.0,0.1,527000000.0,2.0,1.5,0.0,0.2,0.005,0.018000000000000002,228200000.0,0.0125,0.7,b'250615_dmd0_iterative_compensation_pinning.pkl',0,0.0,0.3,450000000.0,0.78,93.0,0.001,2.5,100000.0,0.0125,-1.4999999999999999e-05,0.0,0.03,550.0,0.0,0.0024,0.02,1.3,9.999999999999999e-06,0.0,1.0,0.033,0.009000000000000001,0.0125,45.0,0.03,0.02
