shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalScienceChamberEvaporationVariables2.AccordionCompressionDimplePower,GlobalLatticeVariables2.Dmd0SecondPatternFilename,LocalVariables.DMDID2,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalImagingVariables2.FifthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.ImagingLatticeFreezeTime,LocalVariables.XbarFrequency,LocalVariables.ScanID5,LocalVariables.DMDID,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalImagingVariables2.SpinBlowOutPulsePulseWidth,GlobalImagingVariables2.SecondSpinBlowOutPulseOneHalfExtAmplitude,GlobalImagingVariables2.SecondSpinBlowOutPulsePulseWidth,GlobalLatticeVariables2.LoadingGradientNorthwestInitialPower,GlobalLatticeVariables2.Dmd1PatternFilename,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampDelayTime,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionFinalPower,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.LatticeFreezeVerticalPower,GlobalLatticeVariables2.LoadingGradientRadialLoadingField,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.NematicLatticeModulationFrequency,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalImagingVariables2.SecondSpinBlowOutPulseDetuning,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionInitialPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalMotVariables2.MotDetuningCompressed,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalImagingVariables2.SpinBlowOutPulseDetuning,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.SecondDMD1RampTime,GlobalLatticeVariables2.NematicLatticeModulationXbarPhase,GlobalLatticeVariables2.NematicLatticeModulationPostHoldTime,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalImagingVariables2.ThirdSpinBlowOutPulseDetuning,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.LatticeFreezePhysicsNorthwestPower,GlobalImagingVariables2.FourthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.LatticeFreezeNorthwestPower,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.IsNematicLatticeModulation,GlobalLatticeVariables2.NematicLatticeModulationPreHoldTime,GlobalLatticeVariables2.NematicLatticeModulationTime,GlobalMotVariables2.MotExtAmplitudeCompressed,LocalVariables.ShotTypeID,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,LocalVariables.ScanID4,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampWaitTime,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalImagingVariables2.SecondSpinBlowOutPulseThreeHalvesExtAmplitude,LocalVariables.ImagingBlowOutID,GlobalImagingVariables2.SpinBlowNorthwestPower,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalMotVariables2.MotRepumpExtAmplitudeCompressed,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalImagingVariables2.SecondSpinBlowOutPulseMagneticField
0,0,2025/06/10 23:17:36,0.1,0.3,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',0.0,0.1634945,620000000.0,0.02,773000000.0,0.0,0.0,0.0125,4.9999999999999996e-06,0.0,9.999999999999999e-06,0.05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',-1.4999999999999999e-05,1.0,0.0125,0.001,100000.0,0.0,550.0,0.0,0.0014,0.005,200.0,0.975,0.018000000000000002,300000000.0,2.5,0.033,2.9999999999999997e-05,-6000000.0,228200000.0,450000000.0,590.0,0.02,0.0,0.0,0.009000000000000001,93.0,0.0125,932600000.0,0,1.0,854000000.0,1.3,0.022,0,0.0,0.03,0.78,0.0,0.009380000000000001,0.0,0.0,0.0,0.03,0.0,0.0,1.5,0.174746,10.0,0.2,0.48,0.029,500.0
1,1,2025/06/10 23:17:53,0.1,0.3,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',0.0,0.1634945,620000000.0,0.02,773000000.0,0.0,0.0,0.0125,4.9999999999999996e-06,0.7,9.999999999999999e-06,0.05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',-1.4999999999999999e-05,1.0,0.0125,0.001,100000.0,0.0,550.0,0.0,0.0014,0.005,200.0,0.975,0.018000000000000002,527000000.0,2.5,0.033,2.9999999999999997e-05,-6000000.0,228200000.0,450000000.0,590.0,0.02,0.0,0.0,0.009000000000000001,93.0,0.0125,932600000.0,0,1.0,854000000.0,1.3,0.022,0,0.0,0.03,0.78,1.0,0.009380000000000001,0.0,0.0,0.0,0.03,0.0,2.0,1.5,0.174746,10.0,0.2,0.48,0.029,500.0
2,2,2025/06/10 23:18:09,0.1,0.3,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',0.0,0.1634945,620000000.0,0.02,773000000.0,0.0,0.0,0.0125,4.9999999999999996e-06,0.7,9.999999999999999e-06,0.05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',-1.4999999999999999e-05,1.0,0.0125,0.001,100000.0,0.0,550.0,0.0,0.0014,0.005,200.0,0.975,0.018000000000000002,450000000.0,2.5,0.033,2.9999999999999997e-05,-6000000.0,228200000.0,450000000.0,590.0,0.02,0.0,0.0,0.009000000000000001,93.0,0.0125,932600000.0,0,1.0,854000000.0,1.3,0.022,0,0.0,0.03,0.78,2.0,0.009380000000000001,0.0,0.0,0.0,0.03,0.0,1.0,1.5,0.174746,10.0,0.2,0.48,0.029,500.0
3,3,2025/06/10 23:18:25,0.1,0.3,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',0.0,0.1634945,620000000.0,0.02,773000000.0,0.0,0.0,0.0125,4.9999999999999996e-06,0.7,9.999999999999999e-06,0.05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',-1.4999999999999999e-05,1.0,0.0125,0.001,100000.0,0.0,550.0,0.0,0.0014,0.005,200.0,0.975,0.018000000000000002,527000000.0,2.5,0.033,2.9999999999999997e-05,-6000000.0,228200000.0,450000000.0,590.0,0.02,0.0,0.0,0.009000000000000001,93.0,0.0125,932600000.0,0,1.0,854000000.0,1.3,0.022,0,0.0,0.03,0.78,3.0,0.009380000000000001,0.0,0.0,0.0,0.03,0.0,2.0,1.5,0.174746,10.0,0.2,0.48,0.029,500.0
4,4,2025/06/10 23:18:42,0.1,0.3,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',0.0,0.1634945,620000000.0,0.02,773000000.0,0.0,0.0,0.0125,4.9999999999999996e-06,0.7,9.999999999999999e-06,0.05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',-1.4999999999999999e-05,1.0,0.0125,0.001,100000.0,0.0,550.0,0.0,0.0014,0.005,200.0,0.975,0.018000000000000002,450000000.0,2.5,0.033,2.9999999999999997e-05,-6000000.0,228200000.0,450000000.0,590.0,0.02,0.0,0.0,0.009000000000000001,93.0,0.0125,932600000.0,0,1.0,854000000.0,1.3,0.022,0,0.0,0.03,0.78,4.0,0.009380000000000001,0.0,0.0,0.0,0.03,0.0,1.0,1.5,0.174746,10.0,0.2,0.48,0.029,500.0
5,5,2025/06/10 23:18:58,0.1,0.3,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',0.0,0.1634945,620000000.0,0.02,773000000.0,0.0,0.0,0.0125,4.9999999999999996e-06,0.7,9.999999999999999e-06,0.05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',-1.4999999999999999e-05,1.0,0.0125,0.001,100000.0,0.0,550.0,0.0,0.0014,0.005,200.0,0.975,0.018000000000000002,527000000.0,2.5,0.033,2.9999999999999997e-05,-6000000.0,228200000.0,450000000.0,590.0,0.02,0.0,0.0,0.009000000000000001,93.0,0.0125,932600000.0,0,1.0,854000000.0,1.3,0.022,0,0.0,0.03,0.78,5.0,0.009380000000000001,0.0,0.0,0.0,0.03,0.0,2.0,1.5,0.174746,10.0,0.2,0.48,0.029,500.0
6,6,2025/06/10 23:19:15,0.1,0.3,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',0.0,0.1634945,620000000.0,0.02,773000000.0,0.0,0.0,0.0125,4.9999999999999996e-06,0.7,9.999999999999999e-06,0.05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',-1.4999999999999999e-05,1.0,0.0125,0.001,100000.0,0.0,550.0,0.0,0.0014,0.005,200.0,0.975,0.018000000000000002,450000000.0,2.5,0.033,2.9999999999999997e-05,-6000000.0,228200000.0,450000000.0,590.0,0.02,0.0,0.0,0.009000000000000001,93.0,0.0125,932600000.0,0,1.0,854000000.0,1.3,0.022,0,0.0,0.03,0.78,6.0,0.009380000000000001,0.0,0.0,0.0,0.03,0.0,1.0,1.5,0.174746,10.0,0.2,0.48,0.029,500.0
7,7,2025/06/10 23:19:31,0.1,0.3,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',0.0,0.1634945,620000000.0,0.02,773000000.0,0.0,0.0,0.0125,4.9999999999999996e-06,0.7,9.999999999999999e-06,0.05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',-1.4999999999999999e-05,1.0,0.0125,0.001,100000.0,0.0,550.0,0.0,0.0014,0.005,200.0,0.975,0.018000000000000002,527000000.0,2.5,0.033,2.9999999999999997e-05,-6000000.0,228200000.0,450000000.0,590.0,0.02,0.0,0.0,0.009000000000000001,93.0,0.0125,932600000.0,0,1.0,854000000.0,1.3,0.022,0,0.0,0.03,0.78,7.0,0.009380000000000001,0.0,0.0,0.0,0.03,0.0,2.0,1.5,0.174746,10.0,0.2,0.48,0.029,500.0
8,8,2025/06/10 23:19:47,0.1,0.3,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',0.0,0.1634945,620000000.0,0.02,773000000.0,0.0,0.0,0.0125,4.9999999999999996e-06,0.7,9.999999999999999e-06,0.05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',-1.4999999999999999e-05,1.0,0.0125,0.001,100000.0,0.0,550.0,0.0,0.0014,0.005,200.0,0.975,0.018000000000000002,450000000.0,2.5,0.033,2.9999999999999997e-05,-6000000.0,228200000.0,450000000.0,590.0,0.02,0.0,0.0,0.009000000000000001,93.0,0.0125,932600000.0,0,1.0,854000000.0,1.3,0.022,0,0.0,0.03,0.78,8.0,0.009380000000000001,0.0,0.0,0.0,0.03,0.0,1.0,1.5,0.174746,10.0,0.2,0.48,0.029,500.0
9,9,2025/06/10 23:20:04,0.1,0.3,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',0.0,0.1634945,620000000.0,0.02,773000000.0,0.0,0.0,0.0125,4.9999999999999996e-06,0.0,9.999999999999999e-06,0.05,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',-1.4999999999999999e-05,1.0,0.0125,0.001,100000.0,0.0,550.0,0.0,0.0016,0.005,200.0,0.975,0.018000000000000002,300000000.0,2.5,0.033,2.9999999999999997e-05,-6000000.0,228200000.0,450000000.0,590.0,0.02,0.0,0.0,0.009000000000000001,93.0,0.0125,932600000.0,0,1.0,854000000.0,1.3,0.022,0,0.0,0.03,0.78,9.0,0.009380000000000001,0.0,0.0,0.0,0.03,0.0,0.0,1.5,0.174746,10.0,0.2,0.48,0.029,500.0
