shot_idx,shot_serial,shot_start_time,LocalVariables.XbarFrequency,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,LocalVariables.ShotTypeID,GlobalLatticeVariables2.LoadWithDmd1InitialPower,LocalVariables.DMDID2,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,LocalVariables.ScanID4,LocalVariables.DMDID,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.SecondDMD1RampPower,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.UnloadLatticeDMD1Power
31,31,2025/03/24 19:55:33,773.0,0.975,100.0,30.0,14.0,0.0,0,18.0,163.4945,2.6,30.0,4.0,12.0,0.0,174.746,0.0,0.0,10.0,200.0,100.0,28.0,35.0,93.0,5.0,10.0,1.0,8.64,590.0,1.0,22.0,0.0,228.2,b'250316_dmd0_iterative_compensation_pinning.pkl',14.0
32,32,2025/03/24 19:55:51,773.0,0.975,100.0,30.0,14.0,0.0,0,18.0,163.4945,2.6,30.0,5.0,12.0,0.0,174.746,0.0,0.0,10.0,200.0,100.0,28.0,35.0,93.0,5.0,10.0,2.0,8.64,590.0,1.0,22.0,0.0,228.2,b'250316_dmd0_iterative_compensation_pinning.pkl',14.0
33,33,2025/03/24 19:56:09,773.0,0.975,100.0,30.0,14.0,0.0,0,18.0,163.4945,2.6,30.0,6.0,12.0,0.0,174.746,0.0,0.0,10.0,200.0,100.0,28.0,35.0,93.0,5.0,10.0,1.0,8.64,590.0,1.0,22.0,0.0,228.2,b'250316_dmd0_iterative_compensation_pinning.pkl',14.0
34,34,2025/03/24 19:56:27,773.0,0.975,100.0,30.0,14.0,0.0,0,18.0,163.4945,2.6,30.0,7.0,12.0,0.0,174.746,0.0,0.0,10.0,200.0,100.0,28.0,35.0,93.0,5.0,10.0,2.0,8.64,590.0,1.0,22.0,0.0,228.2,b'250316_dmd0_iterative_compensation_pinning.pkl',14.0
35,35,2025/03/24 19:56:46,773.0,0.975,100.0,30.0,14.0,0.0,0,18.0,163.4945,2.6,30.0,8.0,12.0,0.0,174.746,0.0,0.0,10.0,200.0,100.0,28.0,35.0,93.0,5.0,10.0,1.0,8.64,590.0,1.0,22.0,0.0,228.2,b'250316_dmd0_iterative_compensation_pinning.pkl',14.0
36,36,2025/03/24 19:57:04,773.0,0.975,100.0,30.0,14.0,0.0,0,18.0,163.4945,2.6,30.0,0.0,12.0,0.0,174.746,0.0,0.0,10.0,200.0,100.0,28.0,35.0,93.0,5.0,10.0,0.0,8.64,590.0,1.0,22.0,0.0,228.2,b'250316_dmd0_iterative_compensation_pinning.pkl',14.0
37,37,2025/03/24 19:57:22,773.0,0.975,100.0,30.0,14.0,0.0,0,18.0,163.4945,2.6,30.0,1.0,12.0,0.0,174.746,0.0,0.0,10.0,200.0,100.0,28.0,35.0,93.0,5.0,10.0,2.0,8.64,590.0,1.0,22.0,0.0,228.2,b'250316_dmd0_iterative_compensation_pinning.pkl',14.0
38,38,2025/03/24 19:57:40,773.0,0.975,100.0,30.0,14.0,0.0,0,18.0,163.4945,2.6,30.0,2.0,12.0,0.0,174.746,0.0,0.0,10.0,200.0,100.0,28.0,35.0,93.0,5.0,10.0,1.0,8.64,590.0,1.0,22.0,0.0,228.2,b'250316_dmd0_iterative_compensation_pinning.pkl',14.0
39,39,2025/03/24 19:57:58,773.0,0.975,100.0,30.0,14.0,0.0,0,18.0,163.4945,2.6,30.0,3.0,12.0,0.0,174.746,0.0,0.0,10.0,200.0,100.0,28.0,35.0,93.0,5.0,10.0,2.0,8.64,590.0,1.0,22.0,0.0,228.2,b'250316_dmd0_iterative_compensation_pinning.pkl',14.0
40,40,2025/03/24 19:58:16,773.0,0.975,100.0,30.0,14.0,0.0,0,18.0,163.4945,2.6,30.0,4.0,12.0,0.0,174.746,0.0,0.0,10.0,200.0,100.0,28.0,35.0,93.0,5.0,10.0,1.0,8.64,590.0,1.0,22.0,0.0,228.2,b'250316_dmd0_iterative_compensation_pinning.pkl',14.0
