shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.FinalStateGradientCurrent,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalImagingVariables2.SecondSpinBlowOutPulseDetuning,GlobalImagingVariables2.SecondSpinBlowOutPulseMagneticField,GlobalLatticeVariables2.LatticeFreezeVerticalPower,GlobalLatticeVariables2.NematicLatticeModulationPreHoldTime,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalMotVariables2.MotRepumpExtAmplitudeCompressed,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.LatticeFreezePhysicsNorthwestPower,GlobalLatticeVariables2.NematicLatticeModulationTime,GlobalLatticeVariables2.SecondDMD1RampTime,GlobalLatticeVariables2.NematicLatticeModulationPostHoldTime,GlobalImagingVariables2.SpinBlowOutPulsePulseWidth,GlobalImagingVariables2.SpinBlowNorthwestPower,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalMotVariables2.MotDetuningCompressed,GlobalImagingVariables2.SecondSpinBlowOutPulseOneHalfExtAmplitude,GlobalLatticeVariables2.NematicLatticeModulationFrequency,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.ImagingLatticeFreezeTime,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalImagingVariables2.SecondSpinBlowOutPulseThreeHalvesExtAmplitude,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,LocalVariables.ScanID4,LocalVariables.ScanID5,GlobalLatticeVariables2.IsImageBIFormation,LocalVariables.ShotTypeID,GlobalImagingVariables2.ThirdSpinBlowOutPulseDetuning,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,LocalVariables.XbarFrequency,GlobalImagingVariables2.FourthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionFinalPower,GlobalLatticeVariables2.Dmd1PatternFilename,GlobalLatticeVariables2.LatticeFreezeNorthwestPower,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.LoadingGradientRadialLoadingField,LocalVariables.DMDID2,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalMotVariables2.MotExtAmplitudeCompressed,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampDelayTime,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalImagingVariables2.SpinBlowOutPulseDetuning,GlobalLatticeVariables2.LoadingGradientNorthwestInitialPower,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampWaitTime,GlobalImagingVariables2.FifthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.NematicLatticeModulationXbarPhase,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.IsNematicLatticeModulation,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalScienceChamberEvaporationVariables2.AccordionCompressionDimplePower,GlobalImagingVariables2.SecondSpinBlowOutPulsePulseWidth
10,10,2025/06/22 17:33:45,10.0,0.0,590.0,2.5,0.975,300000000.0,500.0,0.0,0.0,0.0125,0.48,0,1.0,0.03,0.02,0.0,4.9999999999999996e-06,1.5,0.1634945,0.005,0.2,-6000000.0,0.0,200.0,0.009000000000000001,228200000.0,0.01125,b'250615_dmd0_iterative_compensation.pkl',0.02,0.001,0.0,0.0,0.0,0.0,0,10.0,932600000.0,0.174746,773000000.0,854000000.0,0.033,1.0,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',1.3,0.029,0.0125,550.0,0.0,0.0125,100000.0,0.78,-1.4999999999999999e-05,0.018000000000000002,2.9999999999999997e-05,0.1,0.0023,450000000.0,0.05,0.0,620000000.0,0.0,93.0,0.03,0,0.05,0.022,0.3,9.999999999999999e-06
11,11,2025/06/22 17:34:02,10.0,1.0,590.0,2.5,0.975,766000000.0,610.0,0.0,0.0,0.0125,0.48,0,1.0,0.03,0.02,0.0,9.999999999999999e-06,1.5,0.1634945,0.005,0.2,-6000000.0,0.7,200.0,0.009000000000000001,83506780.0,0.01125,b'250615_dmd0_iterative_compensation.pkl',0.02,0.04,0.0,0.0,0.0,0.0,0,11.0,1088300000.0,0.174746,773000000.0,1010900000.0,0.033,1.0,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',1.3,0.029,0.0125,550.0,0.0,0.0125,100000.0,0.78,-1.4999999999999999e-05,0.018000000000000002,2.9999999999999997e-05,0.1,0.0023,605500000.0,0.05,0.0,620000000.0,0.0,93.0,0.03,0,0.05,0.022,0.3,9.999999999999999e-06
12,12,2025/06/22 17:34:19,10.0,1.0,590.0,2.5,0.975,450000000.0,500.0,0.0,0.0,0.0125,0.48,0,1.0,0.03,0.02,0.0,4.9999999999999996e-06,1.5,0.1634945,0.005,0.2,-6000000.0,0.7,200.0,0.009000000000000001,228200000.0,0.01125,b'250615_dmd0_iterative_compensation.pkl',0.02,0.001,0.0,0.0,0.0,0.0,0,12.0,932600000.0,0.174746,773000000.0,854000000.0,0.033,1.0,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',1.3,0.029,0.0125,550.0,0.0,0.0125,100000.0,0.78,-1.4999999999999999e-05,0.018000000000000002,2.9999999999999997e-05,0.1,0.0023,450000000.0,0.05,0.0,620000000.0,0.0,93.0,0.03,0,0.05,0.022,0.3,9.999999999999999e-06
13,13,2025/06/22 17:34:36,10.0,2.0,590.0,2.5,0.975,527000000.0,500.0,0.0,0.0,0.0125,0.48,0,1.0,0.03,0.02,0.0,4.9999999999999996e-06,1.5,0.1634945,0.005,0.2,-6000000.0,0.7,200.0,0.009000000000000001,228200000.0,0.01125,b'250615_dmd0_iterative_compensation.pkl',0.02,0.001,0.0,0.0,0.0,0.0,0,13.0,932600000.0,0.174746,773000000.0,854000000.0,0.033,1.0,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',1.3,0.029,0.0125,550.0,0.0,0.0125,100000.0,0.78,-1.4999999999999999e-05,0.018000000000000002,2.9999999999999997e-05,0.1,0.0023,450000000.0,0.05,0.0,620000000.0,0.0,93.0,0.03,0,0.05,0.022,0.3,9.999999999999999e-06
14,14,2025/06/22 17:34:53,10.0,1.0,590.0,2.5,0.975,450000000.0,500.0,0.0,0.0,0.0125,0.48,0,1.0,0.03,0.02,0.0,4.9999999999999996e-06,1.5,0.1634945,0.005,0.2,-6000000.0,0.7,200.0,0.009000000000000001,228200000.0,0.01125,b'250615_dmd0_iterative_compensation.pkl',0.02,0.001,0.0,0.0,0.0,0.0,0,14.000000000000002,932600000.0,0.174746,773000000.0,854000000.0,0.033,1.0,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',1.3,0.029,0.0125,550.0,0.0,0.0125,100000.0,0.78,-1.4999999999999999e-05,0.018000000000000002,2.9999999999999997e-05,0.1,0.0023,450000000.0,0.05,0.0,620000000.0,0.0,93.0,0.03,0,0.05,0.022,0.3,9.999999999999999e-06
15,15,2025/06/22 17:35:10,10.0,2.0,590.0,2.5,0.975,527000000.0,500.0,0.0,0.0,0.0125,0.48,0,1.0,0.03,0.02,0.0,4.9999999999999996e-06,1.5,0.1634945,0.005,0.2,-6000000.0,0.7,200.0,0.009000000000000001,228200000.0,0.01125,b'250615_dmd0_iterative_compensation.pkl',0.02,0.001,0.0,0.0,0.0,0.0,0,15.0,932600000.0,0.174746,773000000.0,854000000.0,0.033,1.0,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',1.3,0.029,0.0125,550.0,0.0,0.0125,100000.0,0.78,-1.4999999999999999e-05,0.018000000000000002,2.9999999999999997e-05,0.1,0.0023,450000000.0,0.05,0.0,620000000.0,0.0,93.0,0.03,0,0.05,0.022,0.3,9.999999999999999e-06
16,16,2025/06/22 17:35:27,10.0,1.0,590.0,2.5,0.975,450000000.0,500.0,0.0,0.0,0.0125,0.48,0,1.0,0.03,0.02,0.0,4.9999999999999996e-06,1.5,0.1634945,0.005,0.2,-6000000.0,0.7,200.0,0.009000000000000001,228200000.0,0.01125,b'250615_dmd0_iterative_compensation.pkl',0.02,0.001,0.0,0.0,0.0,0.0,0,16.0,932600000.0,0.174746,773000000.0,854000000.0,0.033,1.0,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',1.3,0.029,0.0125,550.0,0.0,0.0125,100000.0,0.78,-1.4999999999999999e-05,0.018000000000000002,2.9999999999999997e-05,0.1,0.0023,450000000.0,0.05,0.0,620000000.0,0.0,93.0,0.03,0,0.05,0.022,0.3,9.999999999999999e-06
17,17,2025/06/22 17:35:44,10.0,2.0,590.0,2.5,0.975,527000000.0,500.0,0.0,0.0,0.0125,0.48,0,1.0,0.03,0.02,0.0,4.9999999999999996e-06,1.5,0.1634945,0.005,0.2,-6000000.0,0.7,200.0,0.009000000000000001,228200000.0,0.01125,b'250615_dmd0_iterative_compensation.pkl',0.02,0.001,0.0,0.0,0.0,0.0,0,17.0,932600000.0,0.174746,773000000.0,854000000.0,0.033,1.0,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',1.3,0.029,0.0125,550.0,0.0,0.0125,100000.0,0.78,-1.4999999999999999e-05,0.018000000000000002,2.9999999999999997e-05,0.1,0.0023,450000000.0,0.05,0.0,620000000.0,0.0,93.0,0.03,0,0.05,0.022,0.3,9.999999999999999e-06
18,18,2025/06/22 17:36:01,10.0,1.0,590.0,2.5,0.975,450000000.0,500.0,0.0,0.0,0.0125,0.48,0,1.0,0.03,0.02,0.0,4.9999999999999996e-06,1.5,0.1634945,0.005,0.2,-6000000.0,0.7,200.0,0.009000000000000001,228200000.0,0.01125,b'250615_dmd0_iterative_compensation.pkl',0.02,0.001,0.0,0.0,0.0,0.0,0,18.0,932600000.0,0.174746,773000000.0,854000000.0,0.033,1.0,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',1.3,0.029,0.0125,550.0,0.0,0.0125,100000.0,0.78,-1.4999999999999999e-05,0.018000000000000002,2.9999999999999997e-05,0.1,0.0023,450000000.0,0.05,0.0,620000000.0,0.0,93.0,0.03,0,0.05,0.022,0.3,9.999999999999999e-06
19,19,2025/06/22 17:36:18,10.0,2.0,590.0,2.5,0.975,527000000.0,500.0,0.0,0.0,0.0125,0.48,0,1.0,0.03,0.02,0.0,4.9999999999999996e-06,1.5,0.1634945,0.005,0.2,-6000000.0,0.7,200.0,0.009000000000000001,228200000.0,0.01125,b'250615_dmd0_iterative_compensation.pkl',0.02,0.001,0.0,0.0,0.0,0.0,0,19.0,932600000.0,0.174746,773000000.0,854000000.0,0.033,1.0,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',1.3,0.029,0.0125,550.0,0.0,0.0125,100000.0,0.78,-1.4999999999999999e-05,0.018000000000000002,2.9999999999999997e-05,0.1,0.0023,450000000.0,0.05,0.0,620000000.0,0.0,93.0,0.03,0,0.05,0.022,0.3,9.999999999999999e-06
20,20,2025/06/22 17:36:36,10.0,0.0,590.0,2.5,0.975,300000000.0,500.0,0.0,0.0,0.0125,0.48,0,1.0,0.03,0.02,0.0,4.9999999999999996e-06,1.5,0.1634945,0.005,0.2,-6000000.0,0.0,200.0,0.009000000000000001,228200000.0,0.01125,b'250615_dmd0_iterative_compensation.pkl',0.02,0.001,0.0,0.0,0.0,0.0,0,20.0,932600000.0,0.174746,773000000.0,854000000.0,0.033,1.0,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',1.3,0.029,0.0125,550.0,0.0,0.0125,100000.0,0.78,-1.4999999999999999e-05,0.018000000000000002,2.9999999999999997e-05,0.1,0.0023,450000000.0,0.05,0.0,620000000.0,0.0,93.0,0.03,0,0.1,0.022,0.3,9.999999999999999e-06
21,21,2025/06/22 17:36:53,10.0,1.0,590.0,2.5,0.975,766000000.0,610.0,0.0,0.0,0.0125,0.48,0,1.0,0.03,0.02,0.0,9.999999999999999e-06,1.5,0.1634945,0.005,0.2,-6000000.0,0.7,200.0,0.009000000000000001,83506780.0,0.01125,b'250615_dmd0_iterative_compensation.pkl',0.02,0.04,0.0,0.0,0.0,0.0,0,21.0,1088300000.0,0.174746,773000000.0,1010900000.0,0.033,1.0,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',1.3,0.029,0.0125,550.0,0.0,0.0125,100000.0,0.78,-1.4999999999999999e-05,0.018000000000000002,2.9999999999999997e-05,0.1,0.0023,605500000.0,0.05,0.0,620000000.0,0.0,93.0,0.03,0,0.1,0.022,0.3,9.999999999999999e-06
22,22,2025/06/22 17:37:12,10.0,1.0,590.0,2.5,0.975,450000000.0,500.0,0.0,0.0,0.0125,0.48,0,1.0,0.03,0.02,0.0,4.9999999999999996e-06,1.5,0.1634945,0.005,0.2,-6000000.0,0.7,200.0,0.009000000000000001,228200000.0,0.01125,b'250615_dmd0_iterative_compensation.pkl',0.02,0.001,0.0,0.0,0.0,0.0,0,22.0,932600000.0,0.174746,773000000.0,854000000.0,0.033,1.0,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',1.3,0.029,0.0125,550.0,0.0,0.0125,100000.0,0.78,-1.4999999999999999e-05,0.018000000000000002,2.9999999999999997e-05,0.1,0.0023,450000000.0,0.05,0.0,620000000.0,0.0,93.0,0.03,0,0.1,0.022,0.3,9.999999999999999e-06
23,23,2025/06/22 17:37:29,10.0,2.0,590.0,2.5,0.975,527000000.0,500.0,0.0,0.0,0.0125,0.48,0,1.0,0.03,0.02,0.0,4.9999999999999996e-06,1.5,0.1634945,0.005,0.2,-6000000.0,0.7,200.0,0.009000000000000001,228200000.0,0.01125,b'250615_dmd0_iterative_compensation.pkl',0.02,0.001,0.0,0.0,0.0,0.0,0,23.0,932600000.0,0.174746,773000000.0,854000000.0,0.033,1.0,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',1.3,0.029,0.0125,550.0,0.0,0.0125,100000.0,0.78,-1.4999999999999999e-05,0.018000000000000002,2.9999999999999997e-05,0.1,0.0023,450000000.0,0.05,0.0,620000000.0,0.0,93.0,0.03,0,0.1,0.022,0.3,9.999999999999999e-06
24,24,2025/06/22 17:37:46,10.0,1.0,590.0,2.5,0.975,450000000.0,500.0,0.0,0.0,0.0125,0.48,0,1.0,0.03,0.02,0.0,4.9999999999999996e-06,1.5,0.1634945,0.005,0.2,-6000000.0,0.7,200.0,0.009000000000000001,228200000.0,0.01125,b'250615_dmd0_iterative_compensation.pkl',0.02,0.001,0.0,0.0,0.0,0.0,0,24.0,932600000.0,0.174746,773000000.0,854000000.0,0.033,1.0,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',1.3,0.029,0.0125,550.0,0.0,0.0125,100000.0,0.78,-1.4999999999999999e-05,0.018000000000000002,2.9999999999999997e-05,0.1,0.0023,450000000.0,0.05,0.0,620000000.0,0.0,93.0,0.03,0,0.1,0.022,0.3,9.999999999999999e-06
