shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,LocalVariables.ShotTypeID,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.FinalStateGradientCurrent,LocalVariables.DMDID2,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,LocalVariables.DMDID,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.UnloadLatticeDMD1Power,LocalVariables.ImagingBlowOutID,GlobalPulseVariables2.LatticeMicrowaveFrequency,LocalVariables.XbarFrequency,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,LocalVariables.ScanID4,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency
13,13,2025/03/22 12:12:24,30.0,7.26,14.0,4.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,1.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
14,14,2025/03/22 12:12:43,30.0,7.26,14.0,5.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,2.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
15,15,2025/03/22 12:13:02,30.0,7.26,14.0,6.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,1.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
16,16,2025/03/22 12:13:20,30.0,7.26,14.0,7.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,2.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
17,17,2025/03/22 12:13:39,30.0,7.26,14.0,8.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,1.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
18,18,2025/03/22 12:13:58,30.0,7.26,14.0,0.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,0.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
19,19,2025/03/22 12:14:17,30.0,7.26,14.0,1.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,2.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
20,20,2025/03/22 12:14:36,30.0,7.26,14.0,2.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,1.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
21,21,2025/03/22 12:14:55,30.0,7.26,14.0,3.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,2.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
22,22,2025/03/22 12:15:14,30.0,7.26,14.0,4.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,1.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
