shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,LocalVariables.ShotTypeID,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.PhysicsSplitYInitialPower,LocalVariables.DMDID,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,LocalVariables.ScanID4,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,LocalVariables.ImagingBlowOutID,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.FourthDMD0RampPower,LocalVariables.XbarFrequency,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,LocalVariables.DMDID2,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower
26,26,2025/03/23 21:31:44,30.0,200.0,0.0,8.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,1.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
27,27,2025/03/23 21:32:03,30.0,200.0,0.0,0.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,0.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
28,28,2025/03/23 21:32:21,30.0,200.0,0.0,1.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,2.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
29,29,2025/03/23 21:32:40,30.0,200.0,0.0,2.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,1.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
30,30,2025/03/23 21:32:59,30.0,200.0,0.0,3.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,2.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
31,31,2025/03/23 21:33:17,30.0,200.0,0.0,4.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,1.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
32,32,2025/03/23 21:33:36,30.0,200.0,0.0,5.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,2.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
33,33,2025/03/23 21:33:54,30.0,200.0,0.0,6.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,1.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
34,34,2025/03/23 21:34:12,30.0,200.0,0.0,7.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,2.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
35,35,2025/03/23 21:34:31,30.0,200.0,0.0,8.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,1.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
